Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Bar-tailed godwit,Y12386 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y12485 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y12616 ,7,9,16,8,NA,NA,NA,NA
Bar-tailed godwit,Y12617 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y12618 ,11,11,22,11,NA,NA,NA,NA
Bar-tailed godwit,Y12619 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y12620 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y12622 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y12624 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y12626 ,9,12,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y12627 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y12628 ,8,9,17,8.5,NA,NA,NA,NA
Bar-tailed godwit,Y12629 ,7,9,16,8,NA,NA,NA,NA
Bar-tailed godwit,Y12631 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y12704 ,8,10,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y12705 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y12706 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y12708 ,10,12,22,11,NA,NA,NA,NA
Bar-tailed godwit,Y12710 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y12723 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y12724 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y12725 ,7,8,15,7.5,NA,NA,NA,NA
Bar-tailed godwit,Y12726 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13102 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13104 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13110 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13112 ,8,10,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13125 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13136 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13137 ,10,10,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13142 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13144 ,11,11,22,11,NA,NA,NA,NA
Bar-tailed godwit,Y13163 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13165 ,7,10,17,8.5,NA,NA,NA,NA
Bar-tailed godwit,Y13167 ,11,11,22,11,NA,NA,NA,NA
Bar-tailed godwit,Y13170 ,10,12,22,11,NA,NA,NA,NA
Bar-tailed godwit,Y13171 ,8,9,17,8.5,NA,NA,NA,NA
Bar-tailed godwit,Y13172 ,8,11,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13173 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13175 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13176 ,7,8,15,7.5,NA,NA,NA,NA
Bar-tailed godwit,Y13177 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13179 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13180 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13181 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13183 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13195 ,9,12,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13208 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13227 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13228 ,7,7,14,7,NA,NA,NA,NA
Bar-tailed godwit,Y13229 ,7,9,16,8,NA,NA,NA,NA
Bar-tailed godwit,Y13231 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13237 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13238 ,7,9,16,8,NA,NA,NA,NA
Bar-tailed godwit,Y13239 ,7,11,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13240 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13244 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13245 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13249 ,11,12,23,11.5,NA,NA,NA,NA
Bar-tailed godwit,Y13265 ,7,7,14,7,NA,NA,NA,NA
Bar-tailed godwit,Y13274 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13277 ,7,11,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13278 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13279 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13280 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13287 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13294 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13295 ,8,9,17,8.5,NA,NA,NA,NA
Bar-tailed godwit,Y13296 ,8,9,17,8.5,NA,NA,NA,NA
Bar-tailed godwit,Y13297 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13299 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13300 ,8,9,17,8.5,NA,NA,NA,NA
Bar-tailed godwit,Y13301 ,10,10,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13302 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13311 ,7,9,16,8,NA,NA,NA,NA
Bar-tailed godwit,Y13313 ,8,10,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13314 ,8,12,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13318 ,10,10,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13323 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13325 ,9,12,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13328 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13329 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13331 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13333 ,8,11,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13334 ,10,11,21,10.5,NA,NA,NA,NA
Bar-tailed godwit,Y13335 ,11,11,22,11,NA,NA,NA,NA
Bar-tailed godwit,Y13336 ,10,10,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13341 ,8,11,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13343 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13345 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13346 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13370 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13373 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13375 ,8,11,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13381 ,9,9,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13383 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13384 ,9,11,20,10,NA,NA,NA,NA
Bar-tailed godwit,Y13388 ,7,11,18,9,NA,NA,NA,NA
Bar-tailed godwit,Y13389 ,9,10,19,9.5,NA,NA,NA,NA
Bar-tailed godwit,Y13391 ,8,9,17,8.5,NA,NA,NA,NA
