Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Barn Swallow,Barn01,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn02,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn03,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn04,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn05,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn06,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn07,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn08,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn09,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn10,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn11,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn12,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn13,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn14,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn15,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn16,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn17,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn18,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn19,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn20,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn21,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn22,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn23,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn24,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn25,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn26,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn27,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn28,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn29,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn30,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn31,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn32,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn33,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn34,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn35,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn36,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn37,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn38,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn39,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn40,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn41,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn42,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn43,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn44,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn45,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn46,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn47,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn48,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn49,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn50,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn51,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn52,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn53,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn54,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn55,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn56,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn57,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn58,7,7,14,7,NA,NA,NA,NA
Barn Swallow,Barn59,6,7,13,6.5,NA,NA,NA,NA
Barn Swallow,Barn60,6,7,13,6.5,NA,NA,NA,NA
Barn Swallow,Barn61,6,7,13,6.5,NA,NA,NA,NA
Barn Swallow,Barn62,6,7,13,6.5,NA,NA,NA,NA
Barn Swallow,Barn63,6,7,13,6.5,NA,NA,NA,NA
Barn Swallow,Barn64,7,8,15,7.5,NA,NA,NA,NA
