Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Barolo shearwater,PBA11,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA10,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA9,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA8,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA7,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA6,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA5,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA4,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA3,9,11,20,10,NA,NA,NA,NA
Barolo shearwater,PBA2,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,PBA1,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,BA4,9,11,20,10,NA,NA,NA,NA
Barolo shearwater,BA3,11,11,22,11,NA,NA,NA,NA
Barolo shearwater,BA2,9,11,20,10,NA,NA,NA,NA
Barolo shearwater,BA1,9,11,20,10,NA,NA,NA,NA
