Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Collared flycatcher,f119627,12,12,24,12,180,182,362,181
Collared flycatcher,f119658,12,12,24,12,180,180,360,180
Collared flycatcher,f119659,12,12,24,12,180,182,362,181
Collared flycatcher,f119660,12,12,24,12,180,182,362,181
Collared flycatcher,f82374,12,12,24,12,182,182,364,182
Collared flycatcher,f82382,10,12,22,11,180,182,362,181
Collared flycatcher,j23131,12,13,25,12.5,180,182,362,181
Collared flycatcher,j23179,12,12,24,12,182,182,364,182
Collared flycatcher,j36707,12,12,24,12,182,182,364,182
Collared flycatcher,j36731,12,12,24,12,180,184,364,182
Collared flycatcher,j36748,12,12,24,12,180,180,360,180
Collared flycatcher,j36756,12,12,24,12,182,182,364,182
Collared flycatcher,j36757,10,12,22,11,180,180,360,180
Collared flycatcher,j36761,10,12,22,11,180,182,362,181
Collared flycatcher,j36771,12,12,24,12,180,182,362,181
Collared flycatcher,j36781,11,12,23,11.5,180,180,360,180
Collared flycatcher,j36782,12,12,24,12,180,180,360,180
Collared flycatcher,j36783,12,12,24,12,180,182,362,181
Collared flycatcher,j36790,12,12,24,12,182,182,364,182
Collared flycatcher,j36791,12,12,24,12,178,180,358,179
Collared flycatcher,j42806,12,12,24,12,180,182,362,181
Collared flycatcher,j42826,12,12,24,12,180,182,362,181
Collared flycatcher,j42857,12,12,24,12,182,182,364,182
Collared flycatcher,j42860,12,12,24,12,180,180,360,180
Collared flycatcher,j42863,10,13,23,11.5,180,182,362,181
Collared flycatcher,j42864,12,12,24,12,180,184,364,182
Collared flycatcher,j42865,12,12,24,12,182,182,364,182
Collared flycatcher,j42867,11,12,23,11.5,180,182,362,181
Collared flycatcher,j42871,12,12,24,12,180,182,362,181
Collared flycatcher,j42872,11,12,23,11.5,182,182,364,182
Collared flycatcher,j42877,12,12,24,12,?,?,?,?
Collared flycatcher,j42878,12,12,24,12,182,184,366,183
Collared flycatcher,j42879,12,13,25,12.5,180,182,362,181
Collared flycatcher,j42881,10,12,22,11,180,180,360,180
Collared flycatcher,j42882,11,12,23,11.5,182,182,364,182
Collared flycatcher,j42883,11,12,23,11.5,180,182,362,181
Collared flycatcher,j42884,12,12,24,12,180,182,362,181
Collared flycatcher,j42885,12,12,24,12,180,180,360,180
Collared flycatcher,j42896,12,12,24,12,182,182,364,182
Collared flycatcher,j42897,12,12,24,12,180,184,364,182
Collared flycatcher,j42900,12,12,24,12,182,182,364,182
Collared flycatcher,j42904,11,12,23,11.5,176,182,358,179
Collared flycatcher,j42905,12,12,24,12,182,182,364,182
Collared flycatcher,j42906,12,12,24,12,182,184,366,183
Collared flycatcher,j42908,12,12,24,12,176,178,354,177
Collared flycatcher,j42909,12,12,24,12,172,180,352,176
Collared flycatcher,j42921,12,12,24,12,180,182,362,181
Collared flycatcher,j42923,12,12,24,12,182,182,364,182
Collared flycatcher,j42924,12,12,24,12,180,182,362,181
Collared flycatcher,j42925,12,12,24,12,182,182,364,182
Collared flycatcher,j42929,11,12,23,11.5,180,182,362,181
Collared flycatcher,j42930,11,12,23,11.5,182,182,364,182
Collared flycatcher,j42938,12,12,24,12,178,180,358,179
Collared flycatcher,j42941,11,12,23,11.5,180,182,362,181
Collared flycatcher,j42942,12,12,24,12,180,182,362,181
Collared flycatcher,j42943,11,12,23,11.5,180,182,362,181
Collared flycatcher,j42944,12,12,24,12,182,182,364,182
Collared flycatcher,j42945,12,12,24,12,182,182,364,182
Collared flycatcher,j42946,12,12,24,12,172,180,352,176
Collared flycatcher,j42947,10,13,23,11.5,182,182,364,182
Collared flycatcher,j42948,11,12,23,11.5,182,182,364,182
Collared flycatcher,j42949,12,12,24,12,182,184,366,183
Collared flycatcher,j42950,10,12,22,11,180,182,362,181
Collared flycatcher,j42951,12,12,24,12,182,182,364,182
Collared flycatcher,j42952,12,12,24,12,182,182,364,182
Collared flycatcher,j42953,12,12,24,12,182,182,364,182
Collared flycatcher,j42954,12,12,24,12,182,182,364,182
Collared flycatcher,j42955,10,12,22,11,180,180,360,180
Collared flycatcher,j42957,10,12,22,11,180,182,362,181
