Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Common buzzard,1,NA,NA,NA,NA,152,152,304,152
Common buzzard,2,NA,NA,NA,NA,152,152,304,152
Common buzzard,3,NA,NA,NA,NA,152,152,304,152
Common buzzard,4,NA,NA,NA,NA,152,152,304,152
Common buzzard,5,NA,NA,NA,NA,152,152,304,152
Common buzzard,6,NA,NA,NA,NA,152,152,304,152
Common buzzard,7,NA,NA,NA,NA,152,152,304,152
Common buzzard,8,NA,NA,NA,NA,156,152,308,154
Common buzzard,9,NA,NA,NA,NA,156,156,312,156
Common buzzard,10,NA,NA,NA,NA,152,152,304,152
Common buzzard,11,NA,NA,NA,NA,152,152,304,152
Common buzzard,12,NA,NA,NA,NA,152,152,304,152
Common buzzard,13,NA,NA,NA,NA,152,152,304,152
Common buzzard,14,NA,NA,NA,NA,152,152,304,152
Common buzzard,15,NA,NA,NA,NA,152,152,304,152
Common buzzard,16,NA,NA,NA,NA,152,152,304,152
Common buzzard,17,NA,NA,NA,NA,152,152,304,152
Common buzzard,18,NA,NA,NA,NA,152,152,304,152
Common buzzard,19,NA,NA,NA,NA,152,152,304,152
Common buzzard,20,NA,NA,NA,NA,156,152,308,154
Common buzzard,21,NA,NA,NA,NA,156,152,308,154
Common buzzard,22,NA,NA,NA,NA,156,152,308,154
Common buzzard,23,NA,NA,NA,NA,146,152,298,149
Common buzzard,24,NA,NA,NA,NA,156,156,312,156
Common buzzard,25,NA,NA,NA,NA,152,152,304,152
Common buzzard,26,NA,NA,NA,NA,156,156,312,156
Common buzzard,28,NA,NA,NA,NA,156,152,308,154
Common buzzard,29,NA,NA,NA,NA,152,152,304,152
Common buzzard,30,NA,NA,NA,NA,156,152,308,154
Common buzzard,31,NA,NA,NA,NA,152,152,304,152
Common buzzard,32,NA,NA,NA,NA,152,152,304,152
Common buzzard,33,NA,NA,NA,NA,156,152,308,154
Common buzzard,34,NA,NA,NA,NA,152,152,304,152
Common buzzard,35,NA,NA,NA,NA,156,152,308,154
Common buzzard,36,NA,NA,NA,NA,156,152,308,154
Common buzzard,37,NA,NA,NA,NA,152,152,304,152
Common buzzard,38,NA,NA,NA,NA,152,152,304,152
Common buzzard,39,NA,NA,NA,NA,152,152,304,152
Common buzzard,40,NA,NA,NA,NA,152,152,304,152
Common buzzard,41,NA,NA,NA,NA,156,152,308,154
Common buzzard,42,NA,NA,NA,NA,152,152,304,152
Common buzzard,43,NA,NA,NA,NA,152,152,304,152
Common buzzard,44,NA,NA,NA,NA,156,152,308,154
Common buzzard,45,NA,NA,NA,NA,156,156,312,156
Common buzzard,46,NA,NA,NA,NA,152,152,304,152
Common buzzard,47,NA,NA,NA,NA,152,152,304,152
Common buzzard,48,NA,NA,NA,NA,152,152,304,152
Common buzzard,49,NA,NA,NA,NA,156,152,308,154
Common buzzard,50,NA,NA,NA,NA,152,152,304,152
Common buzzard,51,NA,NA,NA,NA,152,152,304,152
Common buzzard,52,NA,NA,NA,NA,152,152,304,152
Common buzzard,53,NA,NA,NA,NA,156,152,308,154
Common buzzard,54,NA,NA,NA,NA,156,152,308,154
Common buzzard,55,NA,NA,NA,NA,156,156,312,156
Common buzzard,56,NA,NA,NA,NA,156,156,312,156
Common buzzard,57,NA,NA,NA,NA,152,152,304,152
Common buzzard,58,NA,NA,NA,NA,152,152,304,152
Common buzzard,59,NA,NA,NA,NA,152,152,304,152
Common buzzard,60,NA,NA,NA,NA,152,152,304,152
Common buzzard,61,NA,NA,NA,NA,152,152,304,152
Common buzzard,62,NA,NA,NA,NA,152,152,304,152
Common buzzard,63,NA,NA,NA,NA,152,152,304,152
Common buzzard,64,NA,NA,NA,NA,152,152,304,152
Common buzzard,66,NA,NA,NA,NA,152,152,304,152
Common buzzard,67,NA,NA,NA,NA,152,152,304,152
Common buzzard,68,NA,NA,NA,NA,152,152,304,152
Common buzzard,69,NA,NA,NA,NA,152,152,304,152
Common buzzard,70,NA,NA,NA,NA,152,152,304,152
Common buzzard,71,NA,NA,NA,NA,152,152,304,152
Common buzzard,72,NA,NA,NA,NA,156,152,308,154
Common buzzard,73,NA,NA,NA,NA,152,152,304,152
Common buzzard,74,NA,NA,NA,NA,156,152,308,154
Common buzzard,75,NA,NA,NA,NA,156,152,308,154
Common buzzard,76,NA,NA,NA,NA,156,152,308,154
Common buzzard,77,NA,NA,NA,NA,146,156,302,151
Common buzzard,78,NA,NA,NA,NA,152,152,304,152
Common buzzard,79,NA,NA,NA,NA,152,152,304,152
Common buzzard,80,NA,NA,NA,NA,152,152,304,152
Common buzzard,81,NA,NA,NA,NA,152,152,304,152
Common buzzard,82,NA,NA,NA,NA,152,152,304,152
Common buzzard,83,NA,NA,NA,NA,152,152,304,152
Common buzzard,84,NA,NA,NA,NA,152,152,304,152
Common buzzard,85,NA,NA,NA,NA,152,152,304,152
Common buzzard,86,NA,NA,NA,NA,156,152,308,154
Common buzzard,87,NA,NA,NA,NA,152,152,304,152
Common buzzard,88,NA,NA,NA,NA,152,152,304,152
Common buzzard,89,NA,NA,NA,NA,152,152,304,152
Common buzzard,90,NA,NA,NA,NA,152,152,304,152
Common buzzard,91,NA,NA,NA,NA,156,152,308,154
Common buzzard,92,NA,NA,NA,NA,156,156,312,156
Common buzzard,93,NA,NA,NA,NA,152,152,304,152
Common buzzard,94,NA,NA,NA,NA,152,152,304,152
Common buzzard,95,NA,NA,NA,NA,152,152,304,152
Common buzzard,96,NA,NA,NA,NA,152,152,304,152
Common buzzard,97,NA,NA,NA,NA,152,152,304,152
Common buzzard,98,NA,NA,NA,NA,152,152,304,152
Common buzzard,99,NA,NA,NA,NA,156,152,308,154
Common buzzard,100,NA,NA,NA,NA,156,152,308,154
Common buzzard,102,NA,NA,NA,NA,156,152,308,154
Common buzzard,103,NA,NA,NA,NA,152,152,304,152
Common buzzard,104,NA,NA,NA,NA,152,152,304,152
Common buzzard,105,NA,NA,NA,NA,156,156,312,156
Common buzzard,106,NA,NA,NA,NA,156,152,308,154
Common buzzard,107,NA,NA,NA,NA,152,152,304,152
Common buzzard,108,NA,NA,NA,NA,152,152,304,152
Common buzzard,109,NA,NA,NA,NA,152,152,304,152
Common buzzard,110,NA,NA,NA,NA,152,152,304,152
Common buzzard,111,NA,NA,NA,NA,156,152,308,154
Common buzzard,112,NA,NA,NA,NA,152,152,304,152
Common buzzard,113,NA,NA,NA,NA,152,152,304,152
Common buzzard,114,NA,NA,NA,NA,152,152,304,152
Common buzzard,115,NA,NA,NA,NA,156,152,308,154
Common buzzard,116,NA,NA,NA,NA,152,152,304,152
Common buzzard,117,NA,NA,NA,NA,156,152,308,154
Common buzzard,118,NA,NA,NA,NA,152,152,304,152
Common buzzard,119,NA,NA,NA,NA,152,152,304,152
Common buzzard,120,NA,NA,NA,NA,152,152,304,152
Common buzzard,121,NA,NA,NA,NA,156,156,312,156
Common buzzard,122,NA,NA,NA,NA,156,152,308,154
Common buzzard,123,NA,NA,NA,NA,156,152,308,154
Common buzzard,124,NA,NA,NA,NA,152,152,304,152
Common buzzard,125,NA,NA,NA,NA,152,152,304,152
Common buzzard,126,NA,NA,NA,NA,152,152,304,152
Common buzzard,127,NA,NA,NA,NA,152,152,304,152
Common buzzard,128,NA,NA,NA,NA,152,152,304,152
Common buzzard,129,NA,NA,NA,NA,152,152,304,152
Common buzzard,130,NA,NA,NA,NA,152,152,304,152
Common buzzard,131,NA,NA,NA,NA,152,152,304,152
Common buzzard,132,NA,NA,NA,NA,156,152,308,154
Common buzzard,133,NA,NA,NA,NA,156,152,308,154
Common buzzard,134,NA,NA,NA,NA,156,152,308,154
Common buzzard,135,NA,NA,NA,NA,156,156,312,156
Common buzzard,136,NA,NA,NA,NA,152,152,304,152
Common buzzard,137,NA,NA,NA,NA,152,152,304,152
Common buzzard,138,NA,NA,NA,NA,152,152,304,152
Common buzzard,139,NA,NA,NA,NA,152,152,304,152
Common buzzard,140,NA,NA,NA,NA,152,152,304,152
Common buzzard,141,NA,NA,NA,NA,156,152,308,154
Common buzzard,142,NA,NA,NA,NA,156,152,308,154
Common buzzard,143,NA,NA,NA,NA,156,152,308,154
Common buzzard,144,NA,NA,NA,NA,152,152,304,152
Common buzzard,145,NA,NA,NA,NA,152,152,304,152
