Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Common Nightingale,1173,11,11,22,11,157,167,324,162
Common Nightingale,1294,11,12,23,11.5,157,163,320,160
Common Nightingale,1157,12,12,24,12,160,163,323,161.5
Common Nightingale,1283,10,12,22,11,161,165,326,163
Common Nightingale,1159,11,12,23,11.5,161,167,328,164
Common Nightingale,1188,11,12,23,11.5,161,167,328,164
Common Nightingale,1196,11,12,23,11.5,161,163,324,162
Common Nightingale,1257,11,11,22,11,161,167,328,164
Common Nightingale,1276,11,12,23,11.5,161,163,324,162
Common Nightingale,1280,11,12,23,11.5,161,163,324,162
Common Nightingale,1281,11,12,23,11.5,161,165,326,163
Common Nightingale,1190,9,9,18,9,163,165,328,164
Common Nightingale,1210,9,12,21,10.5,163,167,330,165
Common Nightingale,1260,9,12,21,10.5,163,169,332,166
Common Nightingale,1288,9,11,20,10,163,165,328,164
Common Nightingale,1300,9,12,21,10.5,163,163,326,163
Common Nightingale,1197,10,11,21,10.5,163,163,326,163
Common Nightingale,1266,10,12,22,11,163,163,326,163
Common Nightingale,1270,10,12,22,11,163,165,328,164
Common Nightingale,1152,11,11,22,11,163,163,326,163
Common Nightingale,1153,11,11,22,11,163,163,326,163
Common Nightingale,1154,11,11,22,11,163,163,326,163
Common Nightingale,1161,11,12,23,11.5,163,163,326,163
Common Nightingale,1162,11,12,23,11.5,163,163,326,163
Common Nightingale,1163,11,12,23,11.5,163,163,326,163
Common Nightingale,1166,11,12,23,11.5,163,165,328,164
Common Nightingale,1167,11,12,23,11.5,163,163,326,163
Common Nightingale,1184,11,11,22,11,163,165,328,164
Common Nightingale,1187,11,11,22,11,163,163,326,163
Common Nightingale,1192,11,11,22,11,163,163,326,163
Common Nightingale,1193,11,12,23,11.5,163,163,326,163
Common Nightingale,1195,11,12,23,11.5,163,165,328,164
Common Nightingale,1199,11,12,23,11.5,163,163,326,163
Common Nightingale,1200,11,11,22,11,163,163,326,163
Common Nightingale,1202,11,11,22,11,163,167,330,165
Common Nightingale,1203,11,11,22,11,163,163,326,163
Common Nightingale,1211,11,12,23,11.5,163,167,330,165
Common Nightingale,1220,11,11,22,11,163,163,326,163
Common Nightingale,1222,11,12,23,11.5,163,163,326,163
Common Nightingale,1224,11,11,22,11,163,163,326,163
Common Nightingale,1226,11,12,23,11.5,163,163,326,163
Common Nightingale,1235,11,12,23,11.5,163,163,326,163
Common Nightingale,1236,11,11,22,11,163,163,326,163
Common Nightingale,1246,11,11,22,11,163,163,326,163
Common Nightingale,1248,11,11,22,11,163,163,326,163
Common Nightingale,1251,11,12,23,11.5,163,167,330,165
Common Nightingale,1261,11,12,23,11.5,163,165,328,164
Common Nightingale,1262,11,12,23,11.5,163,163,326,163
Common Nightingale,1263,11,13,24,12,163,163,326,163
Common Nightingale,1268,11,11,22,11,163,163,326,163
Common Nightingale,1269,11,12,23,11.5,163,163,326,163
Common Nightingale,1271,11,11,22,11,163,163,326,163
Common Nightingale,1272,11,12,23,11.5,163,163,326,163
Common Nightingale,1275,11,11,22,11,163,163,326,163
Common Nightingale,1279,11,11,22,11,163,163,326,163
Common Nightingale,1282,11,12,23,11.5,163,169,332,166
Common Nightingale,1284,11,12,23,11.5,163,165,328,164
Common Nightingale,1287,11,12,23,11.5,163,165,328,164
Common Nightingale,1291,11,12,23,11.5,163,163,326,163
Common Nightingale,1292,11,12,23,11.5,163,163,326,163
Common Nightingale,1293,11,11,22,11,163,163,326,163
Common Nightingale,1301,11,11,22,11,163,167,330,165
Common Nightingale,1305,11,12,23,11.5,163,165,328,164
Common Nightingale,1155,12,12,24,12,163,169,332,166
Common Nightingale,1164,12,12,24,12,163,163,326,163
Common Nightingale,1174,12,12,24,12,163,163,326,163
Common Nightingale,1186,12,12,24,12,163,167,330,165
Common Nightingale,1189,12,12,24,12,163,167,330,165
Common Nightingale,1194,12,12,24,12,163,163,326,163
Common Nightingale,1201,12,12,24,12,163,163,326,163
Common Nightingale,1206,12,12,24,12,163,163,326,163
Common Nightingale,1221,12,12,24,12,163,163,326,163
Common Nightingale,1225,12,12,24,12,163,163,326,163
Common Nightingale,1227,12,12,24,12,163,163,326,163
Common Nightingale,1252,12,12,24,12,163,163,326,163
Common Nightingale,1258,12,12,24,12,163,165,328,164
Common Nightingale,1264,12,12,24,12,163,167,330,165
Common Nightingale,1274,12,12,24,12,163,165,328,164
