Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Common whitethroat,2093,NA,NA,NA,NA,157,159,316,158
Common whitethroat,2094,8,11,19,9.5,158,160,318,159
Common whitethroat,2088,NA,NA,NA,NA,158,161,319,159.5
Common whitethroat,2091,NA,NA,NA,NA,158,161,319,159.5
Common whitethroat,2087,NA,NA,NA,NA,159,159,318,159
Common whitethroat,2096,9,10,19,9.5,161,161,322,161
Common whitethroat,2120,10,11,21,10.5,167,174,341,170.5
Common whitethroat,2098,10,10,20,10,168,174,342,171
Common whitethroat,2071,11,11,22,11,168,176,344,172
Common whitethroat,2145,14,14,28,14,169,169,338,169
Common whitethroat,2123,9,10,19,9.5,170,176,346,173
Common whitethroat,2072,10,11,21,10.5,170,172,342,171
Common whitethroat,2076,10,11,21,10.5,170,178,348,174
Common whitethroat,2107,10,10,20,10,170,172,342,171
Common whitethroat,2108,10,10,20,10,170,172,342,171
Common whitethroat,2125,10,10,20,10,170,172,342,171
Common whitethroat,2158,10,10,20,10,170,172,342,171
Common whitethroat,2150,NA,NA,NA,NA,170,174,344,172
Common whitethroat,2080,8,11,19,9.5,172,172,344,172
Common whitethroat,2105,8,8,16,8,172,174,346,173
Common whitethroat,2132,8,11,19,9.5,172,172,344,172
Common whitethroat,2130,9,10,19,9.5,172,176,348,174
Common whitethroat,2081,10,11,21,10.5,172,174,346,173
Common whitethroat,2112,10,10,20,10,172,174,346,173
Common whitethroat,2116,10,11,21,10.5,172,174,346,173
Common whitethroat,2126,10,10,20,10,178,178,356,178
Common whitethroat,2078,9,9,18,9,NA,NA,NA,NA
Common whitethroat,2159,9,11,20,10,NA,NA,NA,NA
Common whitethroat,2122,10,10,20,10,NA,NA,NA,NA
Common whitethroat,2153,10,11,21,10.5,NA,NA,NA,NA
