Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Common yellowthroat,2247,9,10,19,9.5,157,157,314,157
Common yellowthroat,2248,10,10,20,10,157,159,316,158
Common yellowthroat,2249,10,10,20,10,155,159,314,157
Common yellowthroat,2250,10,10,20,10,157,159,316,158
Common yellowthroat,2251,9,11,20,10,157,159,316,158
Common yellowthroat,2252,10,11,21,10.5,157,163,320,160
Common yellowthroat,2253,10,10,20,10,151,157,308,154
Common yellowthroat,2254,10,11,21,10.5,157,159,316,158
Common yellowthroat,2255,9,10,19,9.5,151,165,316,158
Common yellowthroat,2256,9,10,19,9.5,157,163,320,160
Common yellowthroat,2257,10,10,20,10,157,157,314,157
Common yellowthroat,2258,8,10,18,9,159,159,318,159
Common yellowthroat,2259,9,10,19,9.5,159,161,320,160
Common yellowthroat,2260,10,10,20,10,157,159,316,158
Common yellowthroat,2261,9,10,19,9.5,159,161,320,160
Common yellowthroat,2262,10,10,20,10,159,163,322,161
Common yellowthroat,2263,10,10,20,10,157,161,318,159
Common yellowthroat,2264,10,10,20,10,157,159,316,158
Common yellowthroat,2265,9,10,19,9.5,157,161,318,159
Common yellowthroat,2266,9,11,20,10,157,159,316,158
Common yellowthroat,2267,10,10,20,10,153,161,314,157
Common yellowthroat,2268,10,10,20,10,161,161,322,161
Common yellowthroat,2269,10,10,20,10,157,159,316,158
Common yellowthroat,2270,10,10,20,10,151,159,310,155
Common yellowthroat,2271,9,10,19,9.5,159,165,324,162
Common yellowthroat,2272,9,10,19,9.5,161,162,323,161.5
Common yellowthroat,2273,10,10,20,10,159,159,318,159
Common yellowthroat,2275,10,10,20,10,159,159,318,159
Common yellowthroat,2276,10,11,21,10.5,159,159,318,159
Common yellowthroat,2277,10,11,21,10.5,157,165,322,161
Common yellowthroat,2278,10,10,20,10,161,161,322,161
