Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Dark-eyed junco,5203,10,11,21,10.5,163,165,328,164
Dark-eyed junco,5226,11,11,22,11,163,164,327,163.5
Dark-eyed junco,5244,11,11,22,11,159,163,322,161
Dark-eyed junco,5245,11,11,22,11,159,163,322,161
Dark-eyed junco,5246,8,11,19,9.5,161,164,325,162.5
Dark-eyed junco,5249,11,11,22,11,161,163,324,162
Dark-eyed junco,5250,11,11,22,11,163,163,326,163
Dark-eyed junco,5251,9,11,20,10,161,161,322,161
Dark-eyed junco,5253,11,11,22,11,159,161,320,160
Dark-eyed junco,5256,11,11,22,11,165,165,330,165
Dark-eyed junco,5260,11,11,22,11,161,165,326,163
Dark-eyed junco,5263,11,11,22,11,161,165,326,163
Dark-eyed junco,5437,11,11,22,11,NA,NA,NA,NA
Dark-eyed junco,5492,11,11,22,11,159,163,322,161
Dark-eyed junco,5504,10,11,21,10.5,161,163,324,162
Dark-eyed junco,5562,11,11,22,11,159,161,320,160
Dark-eyed junco,5586,11,11,22,11,159,165,324,162
Dark-eyed junco,5592,9,11,20,10,159,163,322,161
Dark-eyed junco,5103,9,11,20,10,161,165,326,163
Dark-eyed junco,5142,11,11,22,11,163,163,326,163
Dark-eyed junco,5231,9,11,20,10,161,167,328,164
Dark-eyed junco,5232,9,11,20,10,161,161,322,161
Dark-eyed junco,5404,9,11,20,10,161,167,328,164
Dark-eyed junco,5427,9,11,20,10,161,163,324,162
Dark-eyed junco,5489,11,11,22,11,157,157,314,157
Dark-eyed junco,5518,11,11,22,11,161,163,324,162
Dark-eyed junco,5519,11,11,22,11,163,167,330,165
Dark-eyed junco,5544,9,11,20,10,161,163,324,162
Dark-eyed junco,5545,11,11,22,11,159,161,320,160
Dark-eyed junco,5550,9,11,20,10,159,161,320,160
Dark-eyed junco,5556,9,11,20,10,163,167,330,165
Dark-eyed junco,5557,9,11,20,10,161,163,324,162
Dark-eyed junco,5565,11,11,22,11,159,161,320,160
Dark-eyed junco,5566,11,11,22,11,157,157,314,157
Dark-eyed junco,5568,9,11,20,10,157,163,320,160
Dark-eyed junco,5569,11,11,22,11,157,161,318,159
