Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
E. Subalpine warbler,2197,7,9,16,8,162,168,330,165
E. Subalpine warbler,2169,8,10,18,9,162,166,328,164
E. Subalpine warbler,2214,NA,NA,NA,NA,162,166,328,164
E. Subalpine warbler,2209,8,8,16,8,164,168,332,166
E. Subalpine warbler,2178,6,7,13,6.5,166,168,334,167
E. Subalpine warbler,2210,7,9,16,8,166,168,334,167
E. Subalpine warbler,2174,8,8,16,8,166,168,334,167
E. Subalpine warbler,2166,9,10,19,9.5,166,168,334,167
E. Subalpine warbler,2195,10,10,20,10,166,168,334,167
E. Subalpine warbler,2176,NA,NA,NA,NA,166,170,336,168
E. Subalpine warbler,2175,7,8,15,7.5,167,168,335,167.5
E. Subalpine warbler,2193,8,9,17,8.5,167,168,335,167.5
E. Subalpine warbler,2190,7,8,15,7.5,168,172,340,170
E. Subalpine warbler,2207,7,9,16,8,168,168,336,168
E. Subalpine warbler,2203,8,10,18,9,168,170,338,169
E. Subalpine warbler,2204,8,9,17,8.5,168,170,338,169
E. Subalpine warbler,2212,8,10,18,9,168,170,338,169
E. Subalpine warbler,2177,9,9,18,9,168,168,336,168
E. Subalpine warbler,2198,9,10,19,9.5,168,168,336,168
E. Subalpine warbler,2199,9,10,19,9.5,168,168,336,168
E. Subalpine warbler,2206,9,10,19,9.5,168,170,338,169
E. Subalpine warbler,2191,NA,NA,NA,NA,168,168,336,168
E. Subalpine warbler,2172,7,7,14,7,NA,NA,NA,NA
E. Subalpine warbler,2170,8,9,17,8.5,NA,NA,NA,NA
E. Subalpine warbler,2189,8,10,18,9,NA,NA,NA,NA
E. Subalpine warbler,2194,8,10,18,9,NA,NA,NA,NA
E. Subalpine warbler,2200,8,10,18,9,NA,NA,NA,NA
E. Subalpine warbler,2179,9,10,19,9.5,NA,NA,NA,NA
E. Subalpine warbler,2192,9,9,18,9,NA,NA,NA,NA
E. Subalpine warbler,2196,9,10,19,9.5,NA,NA,NA,NA
E. Subalpine warbler,2201,9,11,20,10,NA,NA,NA,NA
E. Subalpine warbler,2202,9,10,19,9.5,NA,NA,NA,NA
E. Subalpine warbler,2205,9,10,19,9.5,NA,NA,NA,NA
E. Subalpine warbler,2167,10,10,20,10,NA,NA,NA,NA
