Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Eur. Blackbird,CG02,7,7,14,7,161,170,331,165.5
Eur. Blackbird,EG06,7,7,14,7,163,165,328,164
Eur. Blackbird,EG07,7,7,14,7,163,169,332,166
Eur. Blackbird,EG04,7,7,14,7,165,165,330,165
Eur. Blackbird,EG01,7,7,14,7,165,165,330,165
Eur. Blackbird,CG14,7,7,14,7,165,165,330,165
Eur. Blackbird,EG09,7,7,14,7,165,165,330,165
Eur. Blackbird,CG18,7,7,14,7,165,165,330,165
Eur. Blackbird,CG04,7,7,14,7,165,167,332,166
Eur. Blackbird,CG16,7,7,14,7,165,167,332,166
Eur. Blackbird,CG06,7,7,14,7,165,167,332,166
Eur. Blackbird,EG10,7,7,14,7,165,169,334,167
Eur. Blackbird,EG05,7,7,14,7,165,169,334,167
Eur. Blackbird,CG07,7,7,14,7,165,169,334,167
Eur. Blackbird,EG03,7,7,14,7,165,169,334,167
Eur. Blackbird,CG01,7,7,14,7,165,169,334,167
Eur. Blackbird,CG11,7,7,14,7,165,170,335,167.5
Eur. Blackbird,CG17,7,7,14,7,165,171,336,168
Eur. Blackbird,CG08,7,7,14,7,167,167,334,167
Eur. Blackbird,EG08,7,7,14,7,167,169,336,168
Eur. Blackbird,CG05,7,7,14,7,167,169,336,168
Eur. Blackbird,CG19,5,5,10,5,167,171,338,169
Eur. Blackbird,CG10,7,7,14,7,167,171,338,169
Eur. Blackbird,CG03,7,7,14,7,167,171,338,169
Eur. Blackbird,CG15,7,7,14,7,167,176,343,171.5
Eur. Blackbird,EG02,7,7,14,7,169,169,338,169
Eur. Blackbird,CG13,7,7,14,7,169,171,340,170
Eur. Blackbird,CG12,7,7,14,7,170,170,340,170
Eur. Blackbird,EG11,7,7,14,7,170,171,341,170.5
Eur. Blackbird,CG09,7,7,14,7,170,171,341,170.5
Eur. Blackbird,BG26,7,7,14,7,159,165,324,162
Eur. Blackbird,BG01,7,7,14,7,159,165,324,162
Eur. Blackbird,BG03,5,7,12,6,163,165,328,164
Eur. Blackbird,BG31,7,7,14,7,163,165,328,164
Eur. Blackbird,BG19,7,7,14,7,163,169,332,166
Eur. Blackbird,BG02,7,7,14,7,163,171,334,167
Eur. Blackbird,BG23,7,7,14,7,165,165,330,165
Eur. Blackbird,BG27,7,7,14,7,165,165,330,165
Eur. Blackbird,BG14,7,7,14,7,165,167,332,166
Eur. Blackbird,BG30,7,7,14,7,165,167,332,166
Eur. Blackbird,BG11,7,7,14,7,165,169,334,167
Eur. Blackbird,BG21,7,7,14,7,165,169,334,167
Eur. Blackbird,BG05,7,7,14,7,165,169,334,167
Eur. Blackbird,BG17,7,7,14,7,165,169,334,167
Eur. Blackbird,BG18,7,7,14,7,165,171,336,168
Eur. Blackbird,BG29,7,7,14,7,165,173,338,169
Eur. Blackbird,BG24,7,7,14,7,165,176,341,170.5
Eur. Blackbird,BG28,7,7,14,7,165,176,341,170.5
Eur. Blackbird,BG20,7,7,14,7,167,167,334,167
Eur. Blackbird,BG08,7,7,14,7,167,170,337,168.5
Eur. Blackbird,BG04,7,7,14,7,167,171,338,169
Eur. Blackbird,BG06,7,7,14,7,167,171,338,169
Eur. Blackbird,BG13,7,7,14,7,167,176,343,171.5
Eur. Blackbird,BG12,7,7,14,7,167,176,343,171.5
Eur. Blackbird,BG10,7,7,14,7,169,171,340,170
Eur. Blackbird,BG22,7,7,14,7,170,171,341,170.5
Eur. Blackbird,BG09,7,7,14,7,171,171,342,171
Eur. Blackbird,BG16,7,7,14,7,171,171,342,171
Eur. Blackbird,BG15,7,7,14,7,171,176,347,173.5
Eur. Blackbird,BG07,7,7,14,7,171,176,347,173.5
Eur. Blackbird,BG25,7,7,14,7,176,176,352,176
Eur. Blackbird,RN20,7,7,14,7,145,165,310,155
Eur. Blackbird,RN27,7,7,14,7,145,165,310,155
Eur. Blackbird,RN26,7,7,14,7,145,167,312,156
Eur. Blackbird,RN04,7,7,14,7,145,170,315,157.5
Eur. Blackbird,RN02,7,7,14,7,145,176,321,160.5
Eur. Blackbird,RN29,7,7,14,7,145,176,321,160.5
Eur. Blackbird,RN23,7,7,14,7,163,164,327,163.5
Eur. Blackbird,RN14,7,7,14,7,163,167,330,165
Eur. Blackbird,RN16,7,7,14,7,163,169,332,166
Eur. Blackbird,RN11,7,7,14,7,164,165,329,164.5
Eur. Blackbird,RN09,7,7,14,7,165,165,330,165
Eur. Blackbird,RN05,7,7,14,7,165,165,330,165
Eur. Blackbird,RN17,7,7,14,7,165,167,332,166
Eur. Blackbird,RN07,7,7,14,7,165,167,332,166
Eur. Blackbird,RN30,7,7,14,7,165,169,334,167
Eur. Blackbird,RN22,7,7,14,7,165,169,334,167
Eur. Blackbird,RN18,7,7,14,7,165,169,334,167
Eur. Blackbird,RN25,7,7,14,7,165,169,334,167
Eur. Blackbird,RN28,7,7,14,7,165,169,334,167
Eur. Blackbird,RN06,7,7,14,7,165,169,334,167
Eur. Blackbird,RN15,7,7,14,7,165,169,334,167
Eur. Blackbird,RN01,7,7,14,7,167,167,334,167
Eur. Blackbird,RN03,7,7,14,7,167,169,336,168
Eur. Blackbird,RN32,7,7,14,7,167,169,336,168
Eur. Blackbird,RN08,7,7,14,7,167,169,336,168
Eur. Blackbird,RN12,7,7,14,7,167,169,336,168
Eur. Blackbird,RN31,7,7,14,7,167,171,338,169
Eur. Blackbird,RN10,7,7,14,7,169,169,338,169
Eur. Blackbird,RN13,7,7,14,7,169,170,339,169.5
Eur. Blackbird,RN21,7,7,14,7,170,174,344,172
Eur. Blackbird,RN24,7,7,14,7,170,176,346,173
Eur. Blackbird,GN31,7,7,14,7,162,171,333,166.5
Eur. Blackbird,GN26,7,7,14,7,163,165,328,164
Eur. Blackbird,GN25,7,7,14,7,163,167,330,165
Eur. Blackbird,GN15,7,7,14,7,163,169,332,166
