Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Eurasian blackcap,9343,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,9344,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,9345,NA,NA,NA,NA,162,170,332,166
Eurasian blackcap,9346,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9347,NA,NA,NA,NA,168,172,340,170
Eurasian blackcap,9348,NA,NA,NA,NA,160,162,322,161
Eurasian blackcap,9349,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,9350,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,9351,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9352,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,9353,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9354,NA,NA,NA,NA,162,170,332,166
Eurasian blackcap,9355,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9356,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9357,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,9358,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9359,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9360,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9361,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9362,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,9363,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9364,NA,NA,NA,NA,162,164,326,163
Eurasian blackcap,9365,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9366,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,9367,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,9368,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9369,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9370,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,9372,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9375,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9376,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9377,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9378,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9379,NA,NA,NA,NA,168,172,340,170
Eurasian blackcap,9380,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,9381,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,9382,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9383,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9384,NA,NA,NA,NA,168,170,338,169
Eurasian blackcap,9385,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9386,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9387,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,9388,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9391,NA,NA,NA,NA,168,170,338,169
Eurasian blackcap,9392,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,9393,NA,NA,NA,NA,160,168,328,164
Eurasian blackcap,9394,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,9395,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9396,NA,NA,NA,NA,166,166,332,166
Eurasian blackcap,9397,NA,NA,NA,NA,168,170,338,169
Eurasian blackcap,9398,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,9399,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9400,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9401,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9402,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9403,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,9404,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,9405,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4145,NA,NA,NA,NA,164,172,336,168
Eurasian blackcap,4147,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4150,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4151,NA,NA,NA,NA,168,170,338,169
Eurasian blackcap,4153,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4155,NA,NA,NA,NA,160,164,324,162
Eurasian blackcap,4160,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4162,NA,NA,NA,NA,168,170,338,169
Eurasian blackcap,4164,NA,NA,NA,NA,162,168,330,165
Eurasian blackcap,4166,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4173,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4176,NA,NA,NA,NA,168,170,338,169
Eurasian blackcap,4177,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4178,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4188,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4193,NA,NA,NA,NA,162,164,326,163
Eurasian blackcap,4195,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4199,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4200,NA,NA,NA,NA,170,170,340,170
Eurasian blackcap,4201,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4203,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4204,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4205,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4206,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4208,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4209,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4211,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4212,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4213,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4214,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,4217,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4218,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4220,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,4224,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4225,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4226,NA,NA,NA,NA,160,164,324,162
Eurasian blackcap,4227,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4230,NA,NA,NA,NA,166,170,336,168
Eurasian blackcap,4231,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4232,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4233,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4234,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4237,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4238,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4239,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4240,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4242,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4243,NA,NA,NA,NA,170,170,340,170
Eurasian blackcap,4244,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4247,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4248,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4250,NA,NA,NA,NA,162,168,330,165
Eurasian blackcap,4252,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4253,NA,NA,NA,NA,164,170,334,167
Eurasian blackcap,4255,NA,NA,NA,NA,160,168,328,164
Eurasian blackcap,4256,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4258,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4259,NA,NA,NA,NA,162,166,328,164
Eurasian blackcap,4260,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4262,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4263,NA,NA,NA,NA,164,164,328,164
Eurasian blackcap,4264,NA,NA,NA,NA,164,168,332,166
Eurasian blackcap,4266,NA,NA,NA,NA,164,166,330,165
Eurasian blackcap,4268,NA,NA,NA,NA,168,168,336,168
Eurasian blackcap,4270,NA,NA,NA,NA,166,170,336,168
Eurasian blackcap,4271,NA,NA,NA,NA,166,168,334,167
Eurasian blackcap,4272,NA,NA,NA,NA,166,168,334,167
