Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Eurasian Golden Oriole,1889,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1890,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1891,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1892,6,6,12,6,159,163,322,161
Eurasian Golden Oriole,1893,6,6,12,6,163,167,330,165
Eurasian Golden Oriole,1894,6,6,12,6,163,166,329,164.5
Eurasian Golden Oriole,1895,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1896,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1897,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1898,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1899,6,6,12,6,165,165,330,165
Eurasian Golden Oriole,1900,6,6,12,6,157,163,320,160
Eurasian Golden Oriole,1901,6,6,12,6,163,166,329,164.5
Eurasian Golden Oriole,1902,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1903,6,7,13,6.5,159,159,318,159
Eurasian Golden Oriole,1904,6,6,12,6,163,166,329,164.5
Eurasian Golden Oriole,1905,6,7,13,6.5,161,165,326,163
Eurasian Golden Oriole,1906,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1907,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1908,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1909,6,6,12,6,165,165,330,165
Eurasian Golden Oriole,1910,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1911,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1912,6,6,12,6,159,165,324,162
Eurasian Golden Oriole,1913,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1914,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1915,6,6,12,6,163,163,326,163
Eurasian Golden Oriole,1916,6,6,12,6,165,165,330,165
Eurasian Golden Oriole,1917,6,6,12,6,163,165,328,164
Eurasian Golden Oriole,1918,6,6,12,6,163,165,328,164
