Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Eurasian hoopoe,85,6,8,14,7,157,157,314,157
Eurasian hoopoe,99,6,8,14,7,157,157,314,157
Eurasian hoopoe,83,7,7,14,7,157,161,318,159
Eurasian hoopoe,84,7,8,15,7.5,159,159,318,159
Eurasian hoopoe,86,7,8,15,7.5,157,159,316,158
Eurasian hoopoe,91,7,8,15,7.5,157,157,314,157
Eurasian hoopoe,93,7,8,15,7.5,157,157,314,157
Eurasian hoopoe,94,7,8,15,7.5,157,157,314,157
Eurasian hoopoe,95,7,8,15,7.5,157,159,316,158
Eurasian hoopoe,96,7,7,14,7,157,159,316,158
Eurasian hoopoe,97,7,8,15,7.5,157,157,314,157
Eurasian hoopoe,101,7,8,15,7.5,157,159,316,158
Eurasian hoopoe,102,7,8,15,7.5,157,159,316,158
Eurasian hoopoe,103,7,8,15,7.5,157,157,314,157
Eurasian hoopoe,106,7,8,15,7.5,157,159,316,158
Eurasian hoopoe,107,7,8,15,7.5,157,159,316,158
Eurasian hoopoe,88,8,8,16,8,157,159,316,158
Eurasian hoopoe,89,8,8,16,8,159,161,320,160
Eurasian hoopoe,90,8,8,16,8,157,159,316,158
Eurasian hoopoe,92,8,8,16,8,157,159,316,158
Eurasian hoopoe,98,8,8,16,8,159,159,318,159
Eurasian hoopoe,100,8,8,16,8,159,159,318,159
Eurasian hoopoe,104,8,8,16,8,159,159,318,159
Eurasian hoopoe,105,8,8,16,8,159,159,318,159
Eurasian hoopoe,108,8,8,16,8,157,157,314,157
Eurasian hoopoe,87,NA,NA,NA,NA,159,161,320,160
