Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Eurasian Reed warbler,203,11,11,22,11,168,169,337,168.5
Eurasian Reed warbler,204,11,11,22,11,171,173,344,172
Eurasian Reed warbler,205,11,11,22,11,165,169,334,167
Eurasian Reed warbler,206,11,11,22,11,169,173,342,171
Eurasian Reed warbler,207,11,11,22,11,167,171,338,169
Eurasian Reed warbler,208,11,11,22,11,169,171,340,170
Eurasian Reed warbler,209,11,11,22,11,169,169,338,169
Eurasian Reed warbler,210,11,11,22,11,167,169,336,168
Eurasian Reed warbler,211,11,11,22,11,169,171,340,170
Eurasian Reed warbler,212,11,11,22,11,169,171,340,170
Eurasian Reed warbler,213,11,11,22,11,169,175,344,172
Eurasian Reed warbler,214,11,11,22,11,170,170,340,170
Eurasian Reed warbler,215,11,11,22,11,167,171,338,169
Eurasian Reed warbler,216,11,11,22,11,173,175,348,174
Eurasian Reed warbler,217,11,11,22,11,175,176,351,175.5
Eurasian Reed warbler,218,11,11,22,11,169,170,339,169.5
Eurasian Reed warbler,219,11,11,22,11,169,175,344,172
Eurasian Reed warbler,220,11,11,22,11,167,169,336,168
Eurasian Reed warbler,221,11,11,22,11,169,169,338,169
Eurasian Reed warbler,222,11,11,22,11,170,171,341,170.5
Eurasian Reed warbler,223,11,11,22,11,166,169,335,167.5
Eurasian Reed warbler,224,11,11,22,11,169,175,344,172
Eurasian Reed warbler,225,11,11,22,11,170,175,345,172.5
Eurasian Reed warbler,226,11,11,22,11,169,173,342,171
