Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Eurasian wryneck,15,6,8,14,7,133,135,268,134
Eurasian wryneck,110,7,8,15,7.5,135,136,271,135.5
Eurasian wryneck,9,7,8,15,7.5,133,135,268,134
Eurasian wryneck,116,7,8,15,7.5,135,135,270,135
Eurasian wryneck,10,7,8,15,7.5,135,135,270,135
Eurasian wryneck,11,7,8,15,7.5,131,135,266,133
Eurasian wryneck,131,7,8,15,7.5,131,135,266,133
Eurasian wryneck,134,7,7,14,7,131,137,268,134
Eurasian wryneck,139,7,7,14,7,135,136,271,135.5
Eurasian wryneck,154,7,8,15,7.5,135,135,270,135
Eurasian wryneck,155,7,8,15,7.5,135,136,271,135.5
Eurasian wryneck,160,7,8,15,7.5,131,136,267,133.5
Eurasian wryneck,161,7,8,15,7.5,131,133,264,132
Eurasian wryneck,109,8,10,18,9,133,135,268,134
Eurasian wryneck,112,8,8,16,8,131,133,264,132
Eurasian wryneck,121,8,8,16,8,133,133,266,133
Eurasian wryneck,122,8,10,18,9,135,135,270,135
Eurasian wryneck,124,8,8,16,8,135,137,272,136
Eurasian wryneck,128,8,8,16,8,133,135,268,134
Eurasian wryneck,137,8,8,16,8,133,135,268,134
Eurasian wryneck,138,8,8,16,8,133,137,270,135
Eurasian wryneck,141,8,8,16,8,133,135,268,134
Eurasian wryneck,142,8,8,16,8,133,135,268,134
Eurasian wryneck,144,8,8,16,8,131,133,264,132
Eurasian wryneck,145,8,8,16,8,133,135,268,134
Eurasian wryneck,146,8,8,16,8,135,135,270,135
Eurasian wryneck,149,8,8,16,8,133,135,268,134
Eurasian wryneck,151,8,8,16,8,133,133,266,133
Eurasian wryneck,153,8,8,16,8,133,133,266,133
Eurasian wryneck,158,8,8,16,8,135,135,270,135
Eurasian wryneck,14,NA,NA,NA,NA,133,135,268,134
