Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
European bee-eater,45,4,4,8,4,163,163,326,163
European bee-eater,47,4,4,8,4,163,163,326,163
European bee-eater,48,4,4,8,4,163,163,326,163
European bee-eater,49,4,4,8,4,163,163,326,163
European bee-eater,50,4,4,8,4,163,163,326,163
European bee-eater,51,4,4,8,4,163,163,326,163
European bee-eater,52,4,4,8,4,163,163,326,163
European bee-eater,53,4,4,8,4,163,163,326,163
European bee-eater,54,4,4,8,4,163,163,326,163
European bee-eater,55,4,4,8,4,163,163,326,163
European bee-eater,56,4,4,8,4,163,163,326,163
European bee-eater,57,4,4,8,4,155,163,318,159
European bee-eater,58,4,4,8,4,163,169,332,166
European bee-eater,59,4,4,8,4,163,163,326,163
European bee-eater,60,4,4,8,4,163,163,326,163
European bee-eater,61,4,4,8,4,163,163,326,163
European bee-eater,62,4,4,8,4,163,167,330,165
European bee-eater,63,4,4,8,4,163,163,326,163
European bee-eater,64,4,4,8,4,163,163,326,163
European bee-eater,66,4,4,8,4,163,163,326,163
European bee-eater,67,4,4,8,4,159,163,322,161
European bee-eater,69,4,4,8,4,163,163,326,163
European bee-eater,70,4,4,8,4,159,163,322,161
European bee-eater,71,4,4,8,4,163,163,326,163
European bee-eater,72,4,4,8,4,163,165,328,164
European bee-eater,73,4,4,8,4,163,163,326,163
European bee-eater,74,4,4,8,4,163,163,326,163
European bee-eater,75,4,4,8,4,163,163,326,163
European bee-eater,76,4,4,8,4,163,163,326,163
European bee-eater,77,4,4,8,4,163,163,326,163
European bee-eater,78,4,4,8,4,163,163,326,163
European bee-eater,79,4,4,8,4,163,163,326,163
European bee-eater,80,4,4,8,4,163,163,326,163
European bee-eater,81,4,4,8,4,163,163,326,163
European bee-eater,82,4,4,8,4,163,163,326,163
European bee-eater,46,NA,NA,NA,NA,163,167,330,165
,,,,,,,,,
,,,,,,,,,
