Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
European Nightjar,2436,8,8,16,8,160,160,320,160
European Nightjar,2437,8,8,16,8,152,154,306,153
European Nightjar,2442,8,9,17,8.5,150,154,304,152
European Nightjar,2443,8,8,16,8,154,156,310,155
European Nightjar,2445,8,8,16,8,150,154,304,152
European Nightjar,2446,8,8,16,8,154,156,310,155
European Nightjar,2447,8,8,16,8,154,154,308,154
European Nightjar,2448,8,8,16,8,150,154,304,152
European Nightjar,2449,8,8,16,8,154,154,308,154
European Nightjar,2451,8,9,17,8.5,154,154,308,154
European Nightjar,2454,8,8,16,8,152,158,310,155
European Nightjar,2457,8,9,17,8.5,146,155,301,150.5
European Nightjar,2462,8,8,16,8,156,158,314,157
European Nightjar,2464,8,9,17,8.5,154,154,308,154
European Nightjar,2465,8,8,16,8,150,154,304,152
European Nightjar,2466,8,9,17,8.5,156,158,314,157
European Nightjar,2467,8,8,16,8,152,152,304,152
European Nightjar,2469,8,8,16,8,152,156,308,154
European Nightjar,2470,8,8,16,8,152,158,310,155
European Nightjar,2471,8,8,16,8,152,160,312,156
European Nightjar,2472,8,8,16,8,156,158,314,157
European Nightjar,2473,8,9,17,8.5,152,158,310,155
European Nightjar,2474,8,9,17,8.5,150,156,306,153
European Nightjar,2475,8,9,17,8.5,150,150,300,150
European Nightjar,2476,8,8,16,8,150,154,304,152
European Nightjar,2477,8,8,16,8,150,150,300,150
European Nightjar,2478,8,9,17,8.5,152,154,306,153
European Nightjar,2479,8,8,16,8,154,158,312,156
European Nightjar,2480,8,9,17,8.5,152,156,308,154
European Nightjar,2481,8,9,17,8.5,146,154,300,150
European Nightjar,2482,8,9,17,8.5,148,156,304,152
European Nightjar,2483,8,8,16,8,154,156,310,155
European Nightjar,2484,8,9,17,8.5,152,156,308,154
European Nightjar,2485,8,8,16,8,150,154,304,152
European Nightjar,2486,8,8,16,8,154,154,308,154
European Nightjar,2487,8,8,16,8,154,154,308,154
European Nightjar,2489,8,8,16,8,150,154,304,152
European Nightjar,2468,9,9,18,9,150,154,304,152
European Nightjar,2488,9,9,18,9,152,158,310,155
