Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
European pied flycatcher,392,12,13,25,12.5,164,176,340,170
European pied flycatcher,412,12,13,25,12.5,168,176,344,172
European pied flycatcher,345,10,12,22,11,174,178,352,176
European pied flycatcher,575,11,13,24,12,174,176,350,175
European pied flycatcher,322,12,12,24,12,174,180,354,177
European pied flycatcher,333,12,12,24,12,174,180,354,177
European pied flycatcher,346,12,12,24,12,174,180,354,177
European pied flycatcher,334,10,12,22,11,176,176,352,176
European pied flycatcher,422,10,12,22,11,176,178,354,177
European pied flycatcher,478,10,12,22,11,176,176,352,176
European pied flycatcher,321,11,13,24,12,176,184,360,180
European pied flycatcher,331,11,12,23,11.5,176,180,356,178
European pied flycatcher,335,11,12,23,11.5,176,176,352,176
European pied flycatcher,349,11,12,23,11.5,176,180,356,178
European pied flycatcher,355,11,12,23,11.5,176,180,356,178
European pied flycatcher,430,11,12,23,11.5,176,178,354,177
European pied flycatcher,431,11,13,24,12,176,180,356,178
European pied flycatcher,439,11,12,23,11.5,176,180,356,178
European pied flycatcher,531,11,12,23,11.5,176,180,356,178
European pied flycatcher,615,11,13,24,12,176,183,359,179.5
European pied flycatcher,315,12,13,25,12.5,176,178,354,177
European pied flycatcher,317,12,13,25,12.5,176,182,358,179
European pied flycatcher,326,12,12,24,12,176,178,354,177
European pied flycatcher,337,12,13,25,12.5,176,176,352,176
European pied flycatcher,342,12,13,25,12.5,176,180,356,178
European pied flycatcher,344,12,13,25,12.5,176,180,356,178
European pied flycatcher,357,12,12,24,12,176,180,356,178
European pied flycatcher,358,12,13,25,12.5,176,180,356,178
European pied flycatcher,360,12,13,25,12.5,176,180,356,178
European pied flycatcher,364,12,13,25,12.5,176,178,354,177
European pied flycatcher,365,12,13,25,12.5,176,180,356,178
European pied flycatcher,366,12,12,24,12,176,180,356,178
European pied flycatcher,375,12,13,25,12.5,176,180,356,178
European pied flycatcher,380,12,13,25,12.5,176,180,356,178
European pied flycatcher,401,12,13,25,12.5,176,180,356,178
European pied flycatcher,406,12,13,25,12.5,176,176,352,176
European pied flycatcher,424,12,12,24,12,176,180,356,178
European pied flycatcher,437,12,13,25,12.5,176,176,352,176
European pied flycatcher,441,12,12,24,12,176,180,356,178
European pied flycatcher,461,12,13,25,12.5,176,178,354,177
European pied flycatcher,513,12,13,25,12.5,176,180,356,178
European pied flycatcher,524,12,13,25,12.5,176,176,352,176
European pied flycatcher,577,12,12,24,12,176,180,356,178
European pied flycatcher,579,12,12,24,12,176,180,356,178
European pied flycatcher,585,12,13,25,12.5,176,180,356,178
European pied flycatcher,590,12,13,25,12.5,176,176,352,176
European pied flycatcher,592,12,12,24,12,176,182,358,179
European pied flycatcher,599,12,12,24,12,176,180,356,178
European pied flycatcher,600,12,13,25,12.5,176,178,354,177
European pied flycatcher,604,12,12,24,12,176,180,356,178
European pied flycatcher,609,12,15,27,13.5,176,178,354,177
European pied flycatcher,610,12,13,25,12.5,176,186,362,181
European pied flycatcher,613,12,12,24,12,176,176,352,176
European pied flycatcher,614,12,12,24,12,176,178,354,177
European pied flycatcher,428,13,13,26,13,176,180,356,178
European pied flycatcher,505,13,13,26,13,176,176,352,176
European pied flycatcher,617,13,13,26,13,176,176,352,176
European pied flycatcher,608,10,12,22,11,178,180,358,179
European pied flycatcher,594,11,13,24,12,178,178,356,178
European pied flycatcher,314,12,13,25,12.5,178,180,358,179
European pied flycatcher,324,12,13,25,12.5,178,178,356,178
European pied flycatcher,421,12,12,24,12,178,180,358,179
European pied flycatcher,432,12,13,25,12.5,178,180,358,179
European pied flycatcher,454,12,13,25,12.5,178,178,356,178
European pied flycatcher,455,12,13,25,12.5,178,180,358,179
European pied flycatcher,467,12,12,24,12,178,180,358,179
European pied flycatcher,497,12,13,25,12.5,178,180,358,179
European pied flycatcher,515,12,13,25,12.5,178,182,360,180
European pied flycatcher,516,12,12,24,12,178,178,356,178
European pied flycatcher,518,12,13,25,12.5,178,180,358,179
European pied flycatcher,598,12,12,24,12,178,180,358,179
European pied flycatcher,602,12,12,24,12,178,180,358,179
European pied flycatcher,618,12,12,24,12,178,182,360,180
European pied flycatcher,440,13,13,26,13,178,180,358,179
European pied flycatcher,485,11,13,24,12,180,180,360,180
European pied flycatcher,603,11,12,23,11.5,180,180,360,180
European pied flycatcher,304,12,13,25,12.5,180,180,360,180
European pied flycatcher,328,12,12,24,12,180,180,360,180
European pied flycatcher,343,12,13,25,12.5,180,180,360,180
European pied flycatcher,396,12,12,24,12,180,180,360,180
European pied flycatcher,407,12,12,24,12,180,184,364,182
European pied flycatcher,416,12,12,24,12,180,188,368,184
European pied flycatcher,452,12,12,24,12,180,180,360,180
European pied flycatcher,474,12,12,24,12,180,180,360,180
European pied flycatcher,476,12,12,24,12,180,180,360,180
European pied flycatcher,482,12,13,25,12.5,180,180,360,180
European pied flycatcher,493,12,12,24,12,180,184,364,182
European pied flycatcher,523,12,12,24,12,180,180,360,180
European pied flycatcher,526,12,13,25,12.5,180,182,362,181
European pied flycatcher,549,12,12,24,12,180,180,360,180
European pied flycatcher,552,12,12,24,12,180,182,362,181
European pied flycatcher,569,12,12,24,12,180,180,360,180
European pied flycatcher,580,12,13,25,12.5,180,182,362,181
European pied flycatcher,583,12,12,24,12,180,182,362,181
European pied flycatcher,330,13,13,26,13,180,180,360,180
European pied flycatcher,502,10,12,22,11,?,?,?,?
European pied flycatcher,288,11,12,23,11.5,?,?,?,?
European pied flycatcher,291,11,12,23,11.5,?,?,?,?
European pied flycatcher,297,11,13,24,12,?,?,?,?
European pied flycatcher,303,11,12,23,11.5,?,?,?,?
European pied flycatcher,307,11,12,23,11.5,?,?,?,?
European pied flycatcher,329,11,12,23,11.5,?,?,?,?
European pied flycatcher,351,11,12,23,11.5,?,?,?,?
European pied flycatcher,359,11,12,23,11.5,?,?,?,?
European pied flycatcher,381,11,12,23,11.5,?,?,?,?
European pied flycatcher,383,11,13,24,12,?,?,?,?
European pied flycatcher,384,11,12,23,11.5,?,?,?,?
European pied flycatcher,388,11,12,23,11.5,?,?,?,?
European pied flycatcher,393,11,13,24,12,?,?,?,?
European pied flycatcher,394,11,12,23,11.5,?,?,?,?
European pied flycatcher,404,11,12,23,11.5,?,?,?,?
European pied flycatcher,405,11,13,24,12,?,?,?,?
European pied flycatcher,409,11,12,23,11.5,?,?,?,?
European pied flycatcher,435,11,12,23,11.5,?,?,?,?
European pied flycatcher,445,11,12,23,11.5,?,?,?,?
European pied flycatcher,459,11,13,24,12,?,?,?,?
European pied flycatcher,463,11,12,23,11.5,?,?,?,?
European pied flycatcher,466,11,12,23,11.5,?,?,?,?
European pied flycatcher,498,11,12,23,11.5,?,?,?,?
European pied flycatcher,534,11,12,23,11.5,?,?,?,?
European pied flycatcher,541,11,12,23,11.5,?,?,?,?
European pied flycatcher,548,11,13,24,12,?,?,?,?
European pied flycatcher,553,11,12,23,11.5,?,?,?,?
European pied flycatcher,564,11,12,23,11.5,?,?,?,?
European pied flycatcher,566,11,12,23,11.5,?,?,?,?
European pied flycatcher,567,11,12,23,11.5,?,?,?,?
European pied flycatcher,570,11,12,23,11.5,?,?,?,?
European pied flycatcher,606,11,12,23,11.5,?,?,?,?
European pied flycatcher,612,11,12,23,11.5,?,?,?,?
European pied flycatcher,287,12,12,24,12,?,?,?,?
European pied flycatcher,289,12,12,24,12,?,?,?,?
European pied flycatcher,293,12,12,24,12,?,?,?,?
European pied flycatcher,295,12,12,24,12,?,?,?,?
European pied flycatcher,300,12,12,24,12,?,?,?,?
European pied flycatcher,306,12,12,24,12,?,?,?,?
European pied flycatcher,309,12,13,25,12.5,?,?,?,?
European pied flycatcher,311,12,12,24,12,?,?,?,?
European pied flycatcher,312,12,12,24,12,?,?,?,?
European pied flycatcher,318,12,12,24,12,?,?,?,?
European pied flycatcher,323,12,12,24,12,?,?,?,?
European pied flycatcher,336,12,12,24,12,?,?,?,?
European pied flycatcher,339,12,13,25,12.5,?,?,?,?
European pied flycatcher,341,12,12,24,12,?,?,?,?
European pied flycatcher,353,12,12,24,12,?,?,?,?
European pied flycatcher,354,12,12,24,12,?,?,?,?
European pied flycatcher,362,12,12,24,12,?,?,?,?
European pied flycatcher,363,12,12,24,12,?,?,?,?
European pied flycatcher,367,12,12,24,12,?,?,?,?
European pied flycatcher,368,12,12,24,12,?,?,?,?
European pied flycatcher,369,12,13,25,12.5,?,?,?,?
European pied flycatcher,370,12,12,24,12,?,?,?,?
European pied flycatcher,371,12,12,24,12,?,?,?,?
European pied flycatcher,373,12,12,24,12,?,?,?,?
European pied flycatcher,374,12,13,25,12.5,?,?,?,?
European pied flycatcher,377,12,12,24,12,?,?,?,?
European pied flycatcher,385,12,12,24,12,?,?,?,?
European pied flycatcher,387,12,13,25,12.5,?,?,?,?
European pied flycatcher,389,12,12,24,12,?,?,?,?
European pied flycatcher,391,12,13,25,12.5,?,?,?,?
European pied flycatcher,397,12,13,25,12.5,?,?,?,?
European pied flycatcher,399,12,12,24,12,?,?,?,?
European pied flycatcher,403,12,12,24,12,?,?,?,?
European pied flycatcher,413,12,13,25,12.5,?,?,?,?
European pied flycatcher,415,12,12,24,12,?,?,?,?
European pied flycatcher,417,12,12,24,12,?,?,?,?
European pied flycatcher,418,12,12,24,12,?,?,?,?
European pied flycatcher,419,12,12,24,12,?,?,?,?
European pied flycatcher,433,12,12,24,12,?,?,?,?
European pied flycatcher,438,12,13,25,12.5,?,?,?,?
European pied flycatcher,443,12,12,24,12,?,?,?,?
European pied flycatcher,444,12,12,24,12,?,?,?,?
European pied flycatcher,447,12,12,24,12,?,?,?,?
European pied flycatcher,448,12,12,24,12,?,?,?,?
European pied flycatcher,449,12,12,24,12,?,?,?,?
European pied flycatcher,453,12,12,24,12,?,?,?,?
European pied flycatcher,456,12,12,24,12,?,?,?,?
European pied flycatcher,457,12,12,24,12,?,?,?,?
European pied flycatcher,464,12,12,24,12,?,?,?,?
European pied flycatcher,468,12,12,24,12,?,?,?,?
European pied flycatcher,470,12,12,24,12,?,?,?,?
European pied flycatcher,473,12,12,24,12,?,?,?,?
European pied flycatcher,477,12,12,24,12,?,?,?,?
European pied flycatcher,481,12,13,25,12.5,?,?,?,?
European pied flycatcher,486,12,12,24,12,?,?,?,?
European pied flycatcher,494,12,12,24,12,?,?,?,?
European pied flycatcher,495,12,12,24,12,?,?,?,?
European pied flycatcher,500,12,12,24,12,?,?,?,?
European pied flycatcher,501,12,12,24,12,?,?,?,?
European pied flycatcher,506,12,12,24,12,?,?,?,?
European pied flycatcher,508,12,12,24,12,?,?,?,?
European pied flycatcher,509,12,12,24,12,?,?,?,?
European pied flycatcher,510,12,12,24,12,?,?,?,?
European pied flycatcher,511,12,12,24,12,?,?,?,?
European pied flycatcher,512,12,12,24,12,?,?,?,?
European pied flycatcher,520,12,12,24,12,?,?,?,?
European pied flycatcher,522,12,12,24,12,?,?,?,?
European pied flycatcher,527,12,13,25,12.5,?,?,?,?
European pied flycatcher,528,12,12,24,12,?,?,?,?
European pied flycatcher,532,12,13,25,12.5,?,?,?,?
European pied flycatcher,536,12,12,24,12,?,?,?,?
European pied flycatcher,538,12,12,24,12,?,?,?,?
European pied flycatcher,540,12,12,24,12,?,?,?,?
European pied flycatcher,544,12,13,25,12.5,?,?,?,?
European pied flycatcher,545,12,12,24,12,?,?,?,?
European pied flycatcher,546,12,12,24,12,?,?,?,?
European pied flycatcher,547,12,12,24,12,?,?,?,?
European pied flycatcher,550,12,13,25,12.5,?,?,?,?
European pied flycatcher,554,12,12,24,12,?,?,?,?
European pied flycatcher,555,12,12,24,12,?,?,?,?
European pied flycatcher,556,12,12,24,12,?,?,?,?
European pied flycatcher,557,12,12,24,12,?,?,?,?
European pied flycatcher,559,12,13,25,12.5,?,?,?,?
European pied flycatcher,560,12,12,24,12,?,?,?,?
European pied flycatcher,562,12,12,24,12,?,?,?,?
European pied flycatcher,573,12,13,25,12.5,?,?,?,?
European pied flycatcher,574,12,12,24,12,?,?,?,?
European pied flycatcher,576,12,13,25,12.5,?,?,?,?
European pied flycatcher,582,12,12,24,12,?,?,?,?
European pied flycatcher,584,12,12,24,12,?,?,?,?
European pied flycatcher,588,12,12,24,12,?,?,?,?
European pied flycatcher,591,12,12,24,12,?,?,?,?
European pied flycatcher,595,12,12,24,12,?,?,?,?
European pied flycatcher,596,12,13,25,12.5,?,?,?,?
European pied flycatcher,601,12,12,24,12,?,?,?,?
European pied flycatcher,299,13,13,26,13,?,?,?,?
European pied flycatcher,492,13,13,26,13,?,?,?,?
European pied flycatcher,-,13,13,26,13,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,13,12,25,12.5,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,13,13,26,13,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,10,12,22,11,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,11,13,24,12,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,11,11,22,11,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,10,12,22,11,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,12,24,12,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,12,13,25,12.5,?,?,?,?
European pied flycatcher,-,11,12,23,11.5,?,?,?,?
