Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
European turtle dove,9,5,7,12,6,150,150,300,150
European turtle dove,1,7,7,14,7,150,150,300,150
European turtle dove,2,7,7,14,7,150,150,300,150
European turtle dove,4,7,7,14,7,150,150,300,150
European turtle dove,6,7,7,14,7,150,151,301,150.5
European turtle dove,7,7,7,14,7,150,150,300,150
European turtle dove,10,7,7,14,7,150,150,300,150
European turtle dove,11,7,7,14,7,148,150,298,149
European turtle dove,13,7,7,14,7,150,150,300,150
European turtle dove,15,7,7,14,7,150,150,300,150
European turtle dove,16,7,7,14,7,150,150,300,150
European turtle dove,17,7,7,14,7,150,150,300,150
European turtle dove,19,7,7,14,7,149,150,299,149.5
European turtle dove,21,7,7,14,7,150,150,300,150
European turtle dove,23,7,7,14,7,150,151,301,150.5
European turtle dove,24,7,7,14,7,149,150,299,149.5
European turtle dove,25,7,7,14,7,150,150,300,150
European turtle dove,26,7,7,14,7,150,150,300,150
European turtle dove,28,7,7,14,7,150,152,302,151
European turtle dove,30,7,7,14,7,149,152,301,150.5
European turtle dove,31,7,7,14,7,150,150,300,150
European turtle dove,35,7,7,14,7,150,150,300,150
European turtle dove,36,7,7,14,7,150,150,300,150
European turtle dove,37,7,7,14,7,150,150,300,150
European turtle dove,39,7,7,14,7,150,150,300,150
European turtle dove,40,7,7,14,7,150,150,300,150
European turtle dove,42,7,7,14,7,150,150,300,150
European turtle dove,43,7,7,14,7,150,150,300,150
European turtle dove,44,7,7,14,7,150,150,300,150
