Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Garden warbler,1866,8,11,19,9.5,163,171,334,167
Garden warbler,1832,9,10,19,9.5,167,169,336,168
Garden warbler,1833,9,11,20,10,169,173,342,171
Garden warbler,1855,9,12,21,10.5,169,169,338,169
Garden warbler,1879,9,12,21,10.5,169,169,338,169
Garden warbler,1881,9,12,21,10.5,165,171,336,168
Garden warbler,1884,9,10,19,9.5,169,171,340,170
Garden warbler,1888,9,11,20,10,169,171,340,170
Garden warbler,1836,10,11,21,10.5,169,169,338,169
Garden warbler,1847,10,11,21,10.5,163,171,334,167
Garden warbler,1848,10,12,22,11,169,169,338,169
Garden warbler,1854,10,12,22,11,165,171,336,168
Garden warbler,1858,10,11,21,10.5,167,169,336,168
Garden warbler,1869,10,11,21,10.5,171,173,344,172
Garden warbler,1825,11,11,22,11,167,169,336,168
Garden warbler,1826,11,12,23,11.5,165,167,332,166
Garden warbler,1838,11,12,23,11.5,169,171,340,170
Garden warbler,1842,11,12,23,11.5,169,169,338,169
Garden warbler,1845,11,12,23,11.5,167,167,334,167
Garden warbler,1852,11,12,23,11.5,167,173,340,170
Garden warbler,1861,11,11,22,11,167,169,336,168
Garden warbler,1864,11,12,23,11.5,167,171,338,169
Garden warbler,1865,11,12,23,11.5,167,169,336,168
Garden warbler,1867,11,12,23,11.5,167,169,336,168
Garden warbler,1876,11,12,23,11.5,167,173,340,170
Garden warbler,1877,11,12,23,11.5,169,169,338,169
Garden warbler,1883,11,12,23,11.5,169,169,338,169
Garden warbler,1822,12,15,27,13.5,169,173,342,171
Garden warbler,1828,12,12,24,12,167,169,336,168
Garden warbler,1843,12,12,24,12,167,171,338,169
Garden warbler,1871,12,12,24,12,169,169,338,169
