Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Great Reed warbler,196,11,12,23,11.5,163,163,326,163
Great Reed warbler,182,12,12,24,12,163,163,326,163
Great Reed warbler,183,12,12,24,12,161,163,324,162
Great Reed warbler,184,12,12,24,12,163,163,326,163
Great Reed warbler,185,12,12,24,12,163,163,326,163
Great Reed warbler,186,12,12,24,12,163,163,326,163
Great Reed warbler,187,12,12,24,12,163,163,326,163
Great Reed warbler,188,12,12,24,12,161,163,324,162
Great Reed warbler,189,12,12,24,12,161,163,324,162
Great Reed warbler,190,12,12,24,12,163,163,326,163
Great Reed warbler,191,12,12,24,12,163,163,326,163
Great Reed warbler,192,12,12,24,12,163,163,326,163
Great Reed warbler,193,12,12,24,12,163,163,326,163
Great Reed warbler,194,12,12,24,12,163,163,326,163
Great Reed warbler,197,12,12,24,12,163,163,326,163
Great Reed warbler,198,12,12,24,12,163,163,326,163
Great Reed warbler,199,12,12,24,12,163,163,326,163
Great Reed warbler,200,12,12,24,12,163,163,326,163
Great Reed warbler,201,12,12,24,12,161,163,324,162
Great Reed warbler,202,12,12,24,12,163,163,326,163
Great Reed warbler,195,NA,NA,NA,NA,163,163,326,163
