Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Great shearwater,PG19,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG18,11,12,23,11.5,NA,NA,NA,NA
Great shearwater,PG17,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG16,11,12,23,11.5,NA,NA,NA,NA
Great shearwater,PG15,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG14,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG13,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG12,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG11,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG10,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG9,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG8,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG7,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG6,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG5,11,12,23,11.5,NA,NA,NA,NA
Great shearwater,PG4,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG3,11,11,22,11,NA,NA,NA,NA
Great shearwater,PG2,11,12,23,11.5,NA,NA,NA,NA
Great shearwater,PG1,11,11,22,11,NA,NA,NA,NA
Great shearwater,G6,11,11,22,11,NA,NA,NA,NA
Great shearwater,G5,11,11,22,11,NA,NA,NA,NA
Great shearwater,G4,11,11,22,11,NA,NA,NA,NA
Great shearwater,G3,11,11,22,11,NA,NA,NA,NA
Great shearwater,G2,11,11,22,11,NA,NA,NA,NA
Great shearwater,G1,11,12,23,11.5,NA,NA,NA,NA
