Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Hermit thrush,2280,10,10,20,10,163,167,330,165
Hermit thrush,2281,10,11,21,10.5,165,169,334,167
Hermit thrush,2282,10,10,20,10,165,166,331,165.5
Hermit thrush,2283,10,10,20,10,163,167,330,165
Hermit thrush,2284,10,11,21,10.5,165,169,334,167
Hermit thrush,2285,10,10,20,10,165,167,332,166
Hermit thrush,2286,10,10,20,10,165,167,332,166
Hermit thrush,2287,9,10,19,9.5,163,165,328,164
Hermit thrush,2288,10,10,20,10,165,165,330,165
Hermit thrush,2289,10,10,20,10,166,167,333,166.5
Hermit thrush,2290,10,10,20,10,165,173,338,169
Hermit thrush,2291,9,11,20,10,167,167,334,167
Hermit thrush,2292,10,10,20,10,163,165,328,164
Hermit thrush,2293,10,10,20,10,166,169,335,167.5
Hermit thrush,2294,10,10,20,10,165,167,332,166
Hermit thrush,2295,10,10,20,10,163,166,329,164.5
Hermit thrush,2296,10,10,20,10,165,167,332,166
Hermit thrush,2297,9,10,19,9.5,163,168,331,165.5
Hermit thrush,2298,10,10,20,10,163,167,330,165
Hermit thrush,2299,10,10,20,10,165,167,332,166
Hermit thrush,2300,10,10,20,10,168,168,336,168
Hermit thrush,2301,10,10,20,10,165,167,332,166
Hermit thrush,2302,10,10,20,10,163,165,328,164
Hermit thrush,2303,10,10,20,10,165,165,330,165
Hermit thrush,2304,10,10,20,10,167,168,335,167.5
Hermit thrush,2305,10,10,20,10,163,166,329,164.5
Hermit thrush,2306,9,10,19,9.5,163,163,326,163
Hermit thrush,2307,10,10,20,10,165,167,332,166
Hermit thrush,2308,10,10,20,10,165,166,331,165.5
Hermit thrush,2309,9,10,19,9.5,165,168,333,166.5
