Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Icternine warbler,1533,6,8,14,7,173,175,348,174
Icternine warbler,1563,6,8,14,7,169,171,340,170
Icternine warbler,1531,8,8,16,8,165,165,330,165
Icternine warbler,1539,8,8,16,8,165,169,334,167
Icternine warbler,1540,8,8,16,8,165,167,332,166
Icternine warbler,1541,8,8,16,8,169,169,338,169
Icternine warbler,1542,8,8,16,8,169,169,338,169
Icternine warbler,1549,8,8,16,8,169,175,344,172
Icternine warbler,1550,8,8,16,8,169,169,338,169
Icternine warbler,1551,8,8,16,8,165,169,334,167
Icternine warbler,1554,8,8,16,8,169,169,338,169
Icternine warbler,1557,8,8,16,8,165,165,330,165
Icternine warbler,1558,8,8,16,8,169,175,344,172
Icternine warbler,1564,8,8,16,8,169,169,338,169
Icternine warbler,1566,8,8,16,8,165,169,334,167
Icternine warbler,1570,8,8,16,8,169,169,338,169
Icternine warbler,1573,8,8,16,8,167,169,336,168
Icternine warbler,1575,8,8,16,8,165,171,336,168
Icternine warbler,1577,8,8,16,8,169,173,342,171
Icternine warbler,1583,8,8,16,8,165,171,336,168
Icternine warbler,1585,8,8,16,8,169,169,338,169
Icternine warbler,1588,8,8,16,8,163,165,328,164
Icternine warbler,1590,8,8,16,8,169,169,338,169
Icternine warbler,1592,8,8,16,8,169,173,342,171
Icternine warbler,1593,8,8,16,8,165,165,330,165
Icternine warbler,1596,8,8,16,8,169,169,338,169
Icternine warbler,1600,8,8,16,8,169,169,338,169
Icternine warbler,1601,8,8,16,8,169,169,338,169
Icternine warbler,1603,8,8,16,8,167,175,342,171
