Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Manx shearwater,PP18,11,11,22,11,NA,NA,NA,NA
Manx shearwater,PP17,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP16,9,9,18,9,NA,NA,NA,NA
Manx shearwater,PP15,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP14,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP13,9,9,18,9,NA,NA,NA,NA
Manx shearwater,PP12,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP11,9,9,18,9,NA,NA,NA,NA
Manx shearwater,PP10,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP9,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP8,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP7,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP5,9,11,20,10,NA,NA,NA,NA
Manx shearwater,PP4,9,9,18,9,NA,NA,NA,NA
Manx shearwater,PP3,9,9,18,9,NA,NA,NA,NA
Manx shearwater,PP2,9,9,18,9,NA,NA,NA,NA
Manx shearwater,PP1,9,11,20,10,NA,NA,NA,NA
Manx shearwater,P6,9,11,20,10,NA,NA,NA,NA
Manx shearwater,P5,9,11,20,10,NA,NA,NA,NA
Manx shearwater,P4,9,9,18,9,NA,NA,NA,NA
Manx shearwater,P3,9,9,18,9,NA,NA,NA,NA
Manx shearwater,P2,9,11,20,10,NA,NA,NA,NA
Manx shearwater,P1,9,9,18,9,NA,NA,NA,NA
