Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Northern wheatear,285,10,12,22,11,167,175,342,171
Northern wheatear,227,12,14,26,13,167,175,342,171
Northern wheatear,229,12,15,27,13.5,167,167,334,167
Northern wheatear,231,12,15,27,13.5,167,169,336,168
Northern wheatear,233,12,12,24,12,163,167,330,165
Northern wheatear,235,12,15,27,13.5,167,167,334,167
Northern wheatear,237,12,15,27,13.5,167,167,334,167
Northern wheatear,239,12,15,27,13.5,167,167,334,167
Northern wheatear,241,12,12,24,12,167,169,336,168
Northern wheatear,243,12,12,24,12,169,169,338,169
Northern wheatear,245,12,12,24,12,167,167,334,167
Northern wheatear,247,12,12,24,12,167,171,338,169
Northern wheatear,251,12,15,27,13.5,167,169,336,168
Northern wheatear,253,12,15,27,13.5,167,169,336,168
Northern wheatear,255,12,12,24,12,167,177,344,172
Northern wheatear,257,12,15,27,13.5,167,167,334,167
Northern wheatear,263,12,15,27,13.5,167,171,338,169
Northern wheatear,265,12,12,24,12,167,175,342,171
Northern wheatear,267,12,15,27,13.5,167,167,334,167
Northern wheatear,269,12,15,27,13.5,171,171,342,171
Northern wheatear,271,12,15,27,13.5,169,169,338,169
Northern wheatear,273,12,12,24,12,167,167,334,167
Northern wheatear,275,12,12,24,12,167,167,334,167
Northern wheatear,283,12,12,24,12,167,167,334,167
Northern wheatear,279,14,15,29,14.5,167,169,336,168
Northern wheatear,249,15,15,30,15,167,175,342,171
Northern wheatear,259,15,15,30,15,167,171,338,169
Northern wheatear,261,15,15,30,15,167,169,336,168
Northern wheatear,277,15,15,30,15,167,169,336,168
Northern wheatear,281,15,15,30,15,167,169,336,168
