Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Painted bunting,192172072,9,11,20,10,167,171,338,169
Painted bunting,251112866,10,11,21,10.5,167,169,336,168
Painted bunting,222150757,11,11,22,11,165,169,334,167
Painted bunting,222150758,11,11,22,11,169,177,346,173
Painted bunting,251112852,11,11,22,11,167,169,336,168
Painted bunting,251112854,11,11,22,11,167,171,338,169
Painted bunting,251112858,11,11,22,11,167,170,337,168.5
Painted bunting,251112861,11,11,22,11,167,169,336,168
Painted bunting,251112864,11,11,22,11,167,171,338,169
Painted bunting,251151057,11,11,22,11,169,171,340,170
Painted bunting,192145897,11,11,22,11,167,169,336,168
Painted bunting,192145899,11,11,22,11,167,169,336,168
Painted bunting,192172020,11,11,22,11,169,171,340,170
Painted bunting,251151096,11,11,22,11,169,171,340,170
Painted bunting,251151101,11,11,22,11,169,173,342,171
Painted bunting,192172076,11,11,22,11,167,169,336,168
Painted bunting,192173080,11,11,22,11,169,170,339,169.5
Painted bunting,251101752,11,11,22,11,165,169,334,167
Painted bunting,251140522,11,11,22,11,169,170,339,169.5
Painted bunting,251140535,11,11,22,11,169,173,342,171
Painted bunting,251140572,11,11,22,11,167,169,336,168
Painted bunting,251140602,11,11,22,11,169,171,340,170
Painted bunting,222150752,11,12,23,11.5,167,171,338,169
Painted bunting,192173293,11,12,23,11.5,169,169,338,169
Painted bunting,192172022,11,12,23,11.5,169,169,338,169
Painted bunting,251151100,11,12,23,11.5,167,171,338,169
Painted bunting,192173061,11,12,23,11.5,169,169,338,169
Painted bunting,251151173,11,12,23,11.5,169,169,338,169
Painted bunting,202069895,11,12,23,11.5,167,167,334,167
Painted bunting,240138719,11,12,23,11.5,169,173,342,171
Painted bunting,240138764,11,12,23,11.5,169,169,338,169
Painted bunting,251101742,11,12,23,11.5,165,171,336,168
Painted bunting,251101744,11,12,23,11.5,167,167,334,167
Painted bunting,251140530,11,12,23,11.5,171,171,342,171
Painted bunting,251140542,11,12,23,11.5,167,167,334,167
Painted bunting,251140546,11,12,23,11.5,169,173,342,171
Painted bunting,251140561,11,12,23,11.5,167,167,334,167
Painted bunting,252133278,11,12,23,11.5,171,171,342,171
Painted bunting,202069189,12,12,24,12,169,171,340,170
Painted bunting,202069624,12,12,24,12,169,171,340,170
Painted bunting,202069896,12,12,24,12,169,171,340,170
Painted bunting,251101747,12,12,24,12,167,169,336,168
Painted bunting,251140532,12,12,24,12,167,169,336,168
Painted bunting,222150755,11,13,24,12,169,171,340,170
Painted bunting,251112838,11,13,24,12,169,171,340,170
Painted bunting,251112859,11,13,24,12,169,171,340,170
Painted bunting,251112865,11,13,24,12,167,171,338,169
Painted bunting,251112883,11,13,24,12,167,169,336,168
Painted bunting,192172009,11,13,24,12,169,171,340,170
Painted bunting,222150754,12,13,25,12.5,167,169,336,168
Painted bunting,222150760,12,13,25,12.5,167,171,338,169
Painted bunting,251112762,12,13,25,12.5,169,171,340,170
Painted bunting,251112890,12,13,25,12.5,169,171,340,170
Painted bunting,192173040,12,13,25,12.5,167,169,336,168
Painted bunting,192172085,12,13,25,12.5,167,169,336,168
Painted bunting,222150751,11,14,25,12.5,169,171,340,170
Painted bunting,192172012,11,14,25,12.5,169,171,340,170
Painted bunting,251151168,11,14,25,12.5,169,171,340,170
Painted bunting,192172001,12,14,26,13,169,171,340,170
Painted bunting,192172019,12,14,26,13,169,171,340,170
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,11,,23,,,,,
,,11,,24,,,,,
,,,,,,,,,
,,12,,21,,,,,
,,11,,26,,,,,
,,,,,,,,,
,,12,,,,,,,
,,,,,,,,,
,,12,,,,,,,
,,,,,,,,,
,,13,,,,,,,
,,11,,,,,,,
,,11,,,,,,,
,,14,,,,,,,
,,14,,,,,,,
,,11,,,,,,,
,,12,,,,,,,
