Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Sedge warbler,1456,11,11,22,11,163,163,326,163
Sedge warbler,1458,11,11,22,11,163,165,328,164
Sedge warbler,1461,11,11,22,11,161,163,324,162
Sedge warbler,1462,11,11,22,11,163,165,328,164
Sedge warbler,1466,11,11,22,11,163,165,328,164
Sedge warbler,1470,11,11,22,11,163,165,328,164
Sedge warbler,1472,11,11,22,11,163,163,326,163
Sedge warbler,1475,11,11,22,11,163,163,326,163
Sedge warbler,1478,11,11,22,11,163,165,328,164
Sedge warbler,1479,11,11,22,11,163,163,326,163
Sedge warbler,1483,11,11,22,11,163,163,326,163
Sedge warbler,1484,11,11,22,11,163,165,328,164
Sedge warbler,1488,11,11,22,11,163,163,326,163
Sedge warbler,1489,11,11,22,11,165,165,330,165
Sedge warbler,1494,11,11,22,11,163,163,326,163
Sedge warbler,1495,11,11,22,11,163,163,326,163
Sedge warbler,1498,11,11,22,11,163,163,326,163
Sedge warbler,1500,11,11,22,11,163,167,330,165
Sedge warbler,1503,11,11,22,11,163,163,326,163
Sedge warbler,1505,11,11,22,11,163,163,326,163
Sedge warbler,1506,11,11,22,11,163,163,326,163
Sedge warbler,1507,11,11,22,11,163,163,326,163
Sedge warbler,1511,11,11,22,11,163,165,328,164
Sedge warbler,1513,11,11,22,11,163,163,326,163
Sedge warbler,1517,11,11,22,11,163,165,328,164
Sedge warbler,1520,11,11,22,11,163,165,328,164
Sedge warbler,1523,11,11,22,11,163,165,328,164
Sedge warbler,1525,11,11,22,11,163,163,326,163
Sedge warbler,1527,11,11,22,11,163,163,326,163
Sedge warbler,1530,11,11,22,11,163,165,328,164
