Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Semipalmated plover,C. semipalmatus 01,NA,NA,NA,NA,178,182,360,180
Semipalmated plover,C. semipalmatus 02,NA,NA,NA,NA,174,176,350,175
Semipalmated plover,C. semipalmatus 03,NA,NA,NA,NA,176,178,354,177
Semipalmated plover,C. semipalmatus 04,NA,NA,NA,NA,174,178,352,176
Semipalmated plover,C. semipalmatus 05,NA,NA,NA,NA,174,178,352,176
Semipalmated plover,C. semipalmatus 06,NA,NA,NA,NA,174,178,352,176
Semipalmated plover,C. semipalmatus 07,NA,NA,NA,NA,176,176,352,176
Semipalmated plover,C. semipalmatus 08,NA,NA,NA,NA,176,176,352,176
Semipalmated plover,C. semipalmatus 09,NA,NA,NA,NA,176,176,352,176
Semipalmated plover,C. semipalmatus 10,NA,NA,NA,NA,178,178,356,178
Semipalmated plover,C. semipalmatus 11,NA,NA,NA,NA,174,178,352,176
Semipalmated plover,C. semipalmatus 12,NA,NA,NA,NA,178,178,356,178
Semipalmated plover,C. semipalmatus 13,NA,NA,NA,NA,196,196,392,196
