Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Semipalmated sandpiper,C. pusilla 01,NA,NA,NA,NA,182,188,370,185
Semipalmated sandpiper,C. pusilla 02,NA,NA,NA,NA,186,190,376,188
Semipalmated sandpiper,C. pusilla 03,NA,NA,NA,NA,188,188,376,188
Semipalmated sandpiper,C. pusilla 04,NA,NA,NA,NA,184,188,372,186
Semipalmated sandpiper,C. pusilla 05,NA,NA,NA,NA,182,186,368,184
Semipalmated sandpiper,C. pusilla 06,NA,NA,NA,NA,184,192,376,188
Semipalmated sandpiper,C. pusilla 07,NA,NA,NA,NA,184,188,372,186
Semipalmated sandpiper,C. pusilla 08,NA,NA,NA,NA,188,188,376,188
Semipalmated sandpiper,C. pusilla 09,NA,NA,NA,NA,186,188,374,187
Semipalmated sandpiper,C. pusilla 10,NA,NA,NA,NA,186,186,372,186
Semipalmated sandpiper,C. pusilla 11,NA,NA,NA,NA,186,188,374,187
Semipalmated sandpiper,C. pusilla 12,NA,NA,NA,NA,186,188,374,187
Semipalmated sandpiper,C. pusilla 13,NA,NA,NA,NA,182,188,370,185
Semipalmated sandpiper,C. pusilla 14,NA,NA,NA,NA,184,186,370,185
