Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Spotted flycatcher,1626,7,9,16,8,160,162,322,161
Spotted flycatcher,1737,7,9,16,8,162,162,324,162
Spotted flycatcher,1764,7,9,16,8,162,162,324,162
Spotted flycatcher,1606,9,9,18,9,158,162,320,160
Spotted flycatcher,1616,9,9,18,9,158,161,319,159.5
Spotted flycatcher,1624,9,9,18,9,162,162,324,162
Spotted flycatcher,1629,9,9,18,9,158,162,320,160
Spotted flycatcher,1633,9,9,18,9,160,162,322,161
Spotted flycatcher,1649,9,9,18,9,158,160,318,159
Spotted flycatcher,1656,9,9,18,9,158,162,320,160
Spotted flycatcher,1660,9,9,18,9,160,160,320,160
Spotted flycatcher,1668,9,9,18,9,158,162,320,160
Spotted flycatcher,1669,9,9,18,9,158,158,316,158
Spotted flycatcher,1680,9,9,18,9,160,162,322,161
Spotted flycatcher,1682,9,9,18,9,158,162,320,160
Spotted flycatcher,1686,9,9,18,9,160,164,324,162
Spotted flycatcher,1692,9,9,18,9,160,162,322,161
Spotted flycatcher,1696,9,9,18,9,160,162,322,161
Spotted flycatcher,1697,9,9,18,9,162,162,324,162
Spotted flycatcher,1709,9,9,18,9,160,162,322,161
Spotted flycatcher,1711,9,9,18,9,162,164,326,163
Spotted flycatcher,1717,9,9,18,9,160,162,322,161
Spotted flycatcher,1723,9,9,18,9,162,164,326,163
Spotted flycatcher,1728,9,9,18,9,162,162,324,162
Spotted flycatcher,1744,9,9,18,9,160,160,320,160
Spotted flycatcher,1746,9,9,18,9,160,164,324,162
Spotted flycatcher,1755,9,9,18,9,158,162,320,160
Spotted flycatcher,1756,9,9,18,9,162,162,324,162
Spotted flycatcher,1771,9,9,18,9,162,164,326,163
