Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Spotted sandpiper,A. macularia 01,NA,NA,NA,NA,196,196,392,196
Spotted sandpiper,A. macularia 02,NA,NA,NA,NA,196,196,392,196
Spotted sandpiper,A. macularia 03,NA,NA,NA,NA,194,194,388,194
Spotted sandpiper,A. macularia 04,NA,NA,NA,NA,194,198,392,196
Spotted sandpiper,A. macularia 05,NA,NA,NA,NA,196,196,392,196
Spotted sandpiper,A. macularia 06,NA,NA,NA,NA,198,198,396,198
Spotted sandpiper,A. macularia 07,NA,NA,NA,NA,194,194,388,194
Spotted sandpiper,A. macularia 08,NA,NA,NA,NA,196,204,400,200
Spotted sandpiper,A. macularia 09,NA,NA,NA,NA,192,198,390,195
Spotted sandpiper,A. macularia 10,NA,NA,NA,NA,194,196,390,195
Spotted sandpiper,A. macularia 11,NA,NA,NA,NA,192,192,384,192
Spotted sandpiper,A. macularia 12,NA,NA,NA,NA,194,198,392,196
