Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Swainson's thrush,2357,8,10,18,9,171,173,344,172
Swainson's thrush,2359,8,10,18,9,168,173,341,170.5
Swainson's thrush,2365,8,10,18,9,171,171,342,171
Swainson's thrush,2369,8,10,18,9,168,169,337,168.5
Swainson's thrush,2385,8,10,18,9,171,171,342,171
Swainson's thrush,2395,8,10,18,9,168,171,339,169.5
Swainson's thrush,2399,8,10,18,9,169,175,344,172
Swainson's thrush,2401,8,10,18,9,169,170,339,169.5
Swainson's thrush,2345,10,10,20,10,168,171,339,169.5
Swainson's thrush,2347,10,10,20,10,171,171,342,171
Swainson's thrush,2349,10,10,20,10,166,166,332,166
Swainson's thrush,2351,10,10,20,10,165,167,332,166
Swainson's thrush,2353,10,10,20,10,171,172,343,171.5
Swainson's thrush,2355,10,10,20,10,169,169,338,169
Swainson's thrush,2361,10,10,20,10,168,176,344,172
Swainson's thrush,2363,10,10,20,10,168,171,339,169.5
Swainson's thrush,2367,10,10,20,10,171,173,344,172
Swainson's thrush,2371,10,10,20,10,167,173,340,170
Swainson's thrush,2373,10,10,20,10,171,173,344,172
Swainson's thrush,2375,10,10,20,10,170,171,341,170.5
Swainson's thrush,2377,10,10,20,10,168,169,337,168.5
Swainson's thrush,2379,10,10,20,10,170,175,345,172.5
Swainson's thrush,2381,10,10,20,10,166,171,337,168.5
Swainson's thrush,2383,10,10,20,10,165,173,338,169
Swainson's thrush,2387,10,10,20,10,167,171,338,169
Swainson's thrush,2389,10,10,20,10,168,170,338,169
Swainson's thrush,2391,10,10,20,10,168,169,337,168.5
Swainson's thrush,2393,10,10,20,10,171,173,344,172
Swainson's thrush,2397,10,10,20,10,168,171,339,169.5
