Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Tree pipit,660,7,9,16,8,164,172,336,168
Tree pipit,622,9,9,18,9,164,166,330,165
Tree pipit,674,9,9,18,9,164,168,332,166
Tree pipit,694,9,9,18,9,164,170,334,167
Tree pipit,745,9,9,18,9,164,176,340,170
Tree pipit,775,9,9,18,9,164,170,334,167
Tree pipit,685,7,9,16,8,166,167,333,166.5
Tree pipit,632,9,9,18,9,166,170,336,168
Tree pipit,650,9,9,18,9,166,170,336,168
Tree pipit,652,9,9,18,9,166,172,338,169
Tree pipit,656,9,9,18,9,166,170,336,168
Tree pipit,662,9,9,18,9,166,170,336,168
Tree pipit,666,9,9,18,9,166,172,338,169
Tree pipit,683,9,9,18,9,166,169,335,167.5
Tree pipit,697,9,9,18,9,166,168,334,167
Tree pipit,699,9,9,18,9,166,170,336,168
Tree pipit,712,9,9,18,9,166,168,334,167
Tree pipit,722,9,9,18,9,166,169,335,167.5
Tree pipit,727,9,9,18,9,166,170,336,168
Tree pipit,732,9,9,18,9,166,175,341,170.5
Tree pipit,752,9,9,18,9,166,172,338,169
Tree pipit,759,9,10,19,9.5,166,168,334,167
Tree pipit,651,8,9,17,8.5,167,168,335,167.5
Tree pipit,621,9,10,19,9.5,167,168,335,167.5
Tree pipit,684,9,9,18,9,167,170,337,168.5
Tree pipit,724,9,9,18,9,167,171,338,169
Tree pipit,751,9,9,18,9,167,168,335,167.5
Tree pipit,624,7,9,16,8,168,170,338,169
Tree pipit,627,7,9,16,8,168,170,338,169
Tree pipit,635,7,9,16,8,168,170,338,169
Tree pipit,664,7,9,16,8,168,172,340,170
Tree pipit,665,7,9,16,8,168,172,340,170
Tree pipit,700,8,9,17,8.5,168,173,341,170.5
Tree pipit,754,8,9,17,8.5,168,173,341,170.5
Tree pipit,625,9,9,18,9,168,174,342,171
Tree pipit,631,9,9,18,9,168,168,336,168
Tree pipit,633,9,9,18,9,168,170,338,169
Tree pipit,643,9,9,18,9,168,170,338,169
Tree pipit,648,9,9,18,9,168,168,336,168
Tree pipit,667,9,9,18,9,168,172,340,170
Tree pipit,672,9,9,18,9,168,172,340,170
Tree pipit,682,9,9,18,9,168,172,340,170
Tree pipit,688,9,9,18,9,168,170,338,169
Tree pipit,689,9,9,18,9,168,170,338,169
Tree pipit,695,9,9,18,9,168,171,339,169.5
Tree pipit,696,9,9,18,9,168,170,338,169
Tree pipit,703,9,9,18,9,168,170,338,169
Tree pipit,725,9,9,18,9,168,168,336,168
Tree pipit,728,9,9,18,9,168,170,338,169
Tree pipit,729,9,9,18,9,168,171,339,169.5
Tree pipit,733,9,9,18,9,168,170,338,169
Tree pipit,735,9,9,18,9,168,174,342,171
Tree pipit,741,9,9,18,9,168,168,336,168
Tree pipit,743,9,9,18,9,168,172,340,170
Tree pipit,744,9,9,18,9,168,171,339,169.5
Tree pipit,748,9,9,18,9,168,170,338,169
Tree pipit,755,9,9,18,9,168,168,336,168
Tree pipit,757,9,9,18,9,168,170,338,169
Tree pipit,758,9,9,18,9,168,172,340,170
Tree pipit,764,9,10,19,9.5,168,168,336,168
Tree pipit,770,9,9,18,9,168,170,338,169
Tree pipit,771,9,9,18,9,168,168,336,168
Tree pipit,669,9,9,18,9,169,170,339,169.5
Tree pipit,713,7,9,16,8,170,172,342,171
Tree pipit,767,7,9,16,8,170,170,340,170
Tree pipit,686,8,9,17,8.5,170,172,342,171
