Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Tree swallow,F001,6,8,14,7,175,181,356,178
Tree swallow,F002,8,8,16,8,174,180,354,177
Tree swallow,F003,9,9,18,9,170,178,348,174
Tree swallow,F004,9,9,18,9,171,173,344,172
Tree swallow,F005,6,8,14,7,173,175,348,174
Tree swallow,F006,8,9,17,8.5,171,174,345,172.5
Tree swallow,F007,8,9,17,8.5,172,173,345,172.5
Tree swallow,F008,8,9,17,8.5,172,177,349,174.5
Tree swallow,F009,8,8,16,8,174,176,350,175
Tree swallow,F010,7,8,15,7.5,170,179,349,174.5
Tree swallow,F011,8,9,17,8.5,173,174,347,173.5
Tree swallow,F012,8,9,17,8.5,174,176,350,175
Tree swallow,F013,9,9,18,9,181,182,363,181.5
Tree swallow,F014,8,8,16,8,176,185,361,180.5
Tree swallow,F015,8,9,17,8.5,175,178,353,176.5
Tree swallow,F016,8,9,17,8.5,173,178,351,175.5
Tree swallow,F017,7,9,16,8,172,178,350,175
Tree swallow,F018,7,9,16,8,175,178,353,176.5
Tree swallow,F019,8,9,17,8.5,173,173,346,173
Tree swallow,F020,8,9,17,8.5,176,181,357,178.5
Tree swallow,F021,7,8,15,7.5,173,178,351,175.5
Tree swallow,F022,6,8,14,7,171,183,354,177
Tree swallow,F023,7,8,15,7.5,171,172,343,171.5
Tree swallow,F024,8,9,17,8.5,172,175,347,173.5
Tree swallow,F025,8,8,16,8,174,178,352,176
Tree swallow,F026,8,8,16,8,177,177,354,177
Tree swallow,F027,8,8,16,8,172,177,349,174.5
Tree swallow,F028,8,9,17,8.5,171,174,345,172.5
Tree swallow,F029,8,9,17,8.5,174,176,350,175
Tree swallow,F030,8,8,16,8,168,175,343,171.5
Tree swallow,F031,8,8,16,8,173,176,349,174.5
Tree swallow,F032,9,9,18,9,174,176,350,175
Tree swallow,F033,9,9,18,9,172,181,353,176.5
Tree swallow,F034,8,8,16,8,172,181,353,176.5
Tree swallow,F035,8,9,17,8.5,174,180,354,177
Tree swallow,F036,8,8,16,8,174,175,349,174.5
Tree swallow,F037,8,9,17,8.5,173,176,349,174.5
Tree swallow,F038,8,9,17,8.5,172,175,347,173.5
Tree swallow,F039,8,8,16,8,172,174,346,173
Tree swallow,F040,8,8,16,8,174,176,350,175
Tree swallow,F041,8,9,17,8.5,171,173,344,172
Tree swallow,F042,8,8,16,8,172,178,350,175
Tree swallow,F043,8,8,16,8,181,181,362,181
Tree swallow,F044,8,8,16,8,173,175,348,174
Tree swallow,F045,8,8,16,8,172,183,355,177.5
Tree swallow,F046,8,9,17,8.5,176,180,356,178
Tree swallow,F047,8,8,16,8,174,176,350,175
Tree swallow,F048,8,8,16,8,173,177,350,175
Tree swallow,F049,8,8,16,8,176,176,352,176
Tree swallow,F050,7,9,16,8,170,177,347,173.5
Tree swallow,F051,7,9,16,8,170,177,347,173.5
Tree swallow,F052,8,8,16,8,176,181,357,178.5
Tree swallow,F053,9,9,18,9,172,174,346,173
Tree swallow,F054,8,9,17,8.5,175,178,353,176.5
Tree swallow,F055,8,9,17,8.5,174,175,349,174.5
Tree swallow,F056,6,8,14,7,174,176,350,175
Tree swallow,F057,8,8,16,8,175,176,351,175.5
Tree swallow,F058,8,8,16,8,172,173,345,172.5
Tree swallow,F059,8,9,17,8.5,172,176,348,174
Tree swallow,F060,8,9,17,8.5,171,175,346,173
Tree swallow,F061,8,8,16,8,173,173,346,173
Tree swallow,F062,8,9,17,8.5,175,180,355,177.5
Tree swallow,F063,6,9,15,7.5,170,172,342,171
Tree swallow,F064,8,8,16,8,176,180,356,178
Tree swallow,F065,8,8,16,8,173,178,351,175.5
Tree swallow,F066,6,8,14,7,177,185,362,181
Tree swallow,F067,8,9,17,8.5,172,174,346,173
Tree swallow,F068,8,9,17,8.5,170,173,343,171.5
Tree swallow,F069,8,9,17,8.5,170,172,342,171
Tree swallow,F070,8,8,16,8,172,176,348,174
Tree swallow,F071,8,9,17,8.5,174,178,352,176
Tree swallow,F072,8,9,17,8.5,173,176,349,174.5
Tree swallow,F073,8,8,16,8,175,175,350,175
Tree swallow,F074,9,9,18,9,175,176,351,175.5
Tree swallow,F075,8,9,17,8.5,172,177,349,174.5
Tree swallow,F076,8,9,17,8.5,170,174,344,172
Tree swallow,F077,6,9,15,7.5,174,178,352,176
Tree swallow,F078,9,9,18,9,172,174,346,173
Tree swallow,F079,8,8,16,8,173,176,349,174.5
Tree swallow,F080,8,9,17,8.5,170,173,343,171.5
Tree swallow,F081,9,9,18,9,173,180,353,176.5
Tree swallow,F082,8,8,16,8,174,175,349,174.5
Tree swallow,F083,8,9,17,8.5,170,176,346,173
Tree swallow,F084,7,8,15,7.5,173,178,351,175.5
Tree swallow,F085,8,9,17,8.5,168,174,342,171
Tree swallow,F086,8,9,17,8.5,174,182,356,178
Tree swallow,F087,8,9,17,8.5,171,174,345,172.5
Tree swallow,F088,9,9,18,9,172,176,348,174
Tree swallow,F089,9,9,18,9,174,175,349,174.5
