Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
True redstarts,2012,NA,NA,NA,NA,160,162,322,161
True redstarts,1998,NA,NA,NA,NA,161,165,326,163
True redstarts,2007,12,14,26,13,162,167,329,164.5
True redstarts,1999,NA,NA,NA,NA,163,167,330,165
True redstarts,2010,NA,NA,NA,NA,164,166,330,165
True redstarts,2036,12,15,27,13.5,165,169,334,167
True redstarts,2004,14,14,28,14,165,173,338,169
True redstarts,2027,14,14,28,14,165,165,330,165
True redstarts,2059,11,14,25,12.5,167,171,338,169
True redstarts,2003,13,14,27,13.5,167,169,336,168
True redstarts,2044,13,14,27,13.5,167,169,336,168
True redstarts,2001,14,14,28,14,167,169,336,168
True redstarts,2005,14,14,28,14,167,169,336,168
True redstarts,2015,14,14,28,14,167,169,336,168
True redstarts,2019,14,15,29,14.5,167,169,336,168
True redstarts,2020,14,14,28,14,167,171,338,169
True redstarts,2021,14,15,29,14.5,167,169,336,168
True redstarts,2028,14,14,28,14,167,171,338,169
True redstarts,2029,14,14,28,14,167,169,336,168
True redstarts,2031,14,14,28,14,167,169,336,168
True redstarts,2064,14,14,28,14,167,175,342,171
True redstarts,2025,13,14,27,13.5,169,170,339,169.5
True redstarts,2017,14,14,28,14,169,169,338,169
True redstarts,2041,14,15,29,14.5,169,173,342,171
True redstarts,2045,14,15,29,14.5,169,169,338,169
True redstarts,2047,14,15,29,14.5,169,169,338,169
True redstarts,2048,14,15,29,14.5,169,173,342,171
True redstarts,2049,14,14,28,14,169,171,340,170
True redstarts,2051,14,14,28,14,169,171,340,170
True redstarts,2066,14,14,28,14,169,171,340,170
True redstarts,2068,14,16,30,15,169,169,338,169
True redstarts,2035,12,14,26,13,171,171,342,171
True redstarts,2054,12,13,25,12.5,171,171,342,171
True redstarts,2063,12,14,26,13,171,171,342,171
True redstarts,2067,13,13,26,13,171,175,346,173
True redstarts,2037,11,13,24,12,NA,NA,NA,NA
True redstarts,2034,12,14,26,13,NA,NA,NA,NA
True redstarts,2039,12,14,26,13,NA,NA,NA,NA
True redstarts,2052,12,14,26,13,NA,NA,NA,NA
True redstarts,2065,13,15,28,14,NA,NA,NA,NA
True redstarts,2014,14,14,28,14,NA,NA,NA,NA
True redstarts,2016,14,14,28,14,NA,NA,NA,NA
True redstarts,2024,14,14,28,14,NA,NA,NA,NA
True redstarts,2030,14,14,28,14,NA,NA,NA,NA
True redstarts,2040,14,14,28,14,NA,NA,NA,NA
True redstarts,2043,14,16,30,15,NA,NA,NA,NA
True redstarts,2058,14,14,28,14,NA,NA,NA,NA
