Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Whinchat,883,14,14,28,14,161,167,328,164
Whinchat,1102,14,14,28,14,161,165,326,163
Whinchat,1125,14,14,28,14,161,168,329,164.5
Whinchat,1151,14,14,28,14,161,169,330,165
Whinchat,941,11,14,25,12.5,163,170,333,166.5
Whinchat,864,13,14,27,13.5,163,172,335,167.5
Whinchat,1127,13,14,27,13.5,163,169,332,166
Whinchat,788,14,14,28,14,163,169,332,166
Whinchat,840,14,14,28,14,163,173,336,168
Whinchat,904,14,14,28,14,163,171,334,167
Whinchat,906,14,14,28,14,163,169,332,166
Whinchat,937,14,14,28,14,163,167,330,165
Whinchat,1032,14,14,28,14,163,169,332,166
Whinchat,1064,14,14,28,14,163,164,327,163.5
Whinchat,1068,14,15,29,14.5,163,167,330,165
Whinchat,1070,14,14,28,14,163,167,330,165
Whinchat,1097,14,14,28,14,163,169,332,166
Whinchat,1136,14,14,28,14,163,169,332,166
Whinchat,1148,14,14,28,14,163,169,332,166
Whinchat,1132,13,14,27,13.5,164,169,333,166.5
Whinchat,862,14,14,28,14,164,171,335,167.5
Whinchat,958,14,14,28,14,164,169,333,166.5
Whinchat,982,14,14,28,14,164,171,335,167.5
Whinchat,1053,14,14,28,14,164,169,333,166.5
Whinchat,1059,14,14,28,14,164,171,335,167.5
Whinchat,1115,14,14,28,14,164,169,333,166.5
Whinchat,1139,14,14,28,14,164,169,333,166.5
Whinchat,1141,14,14,28,14,164,171,335,167.5
Whinchat,992,12,14,26,13,165,169,334,167
Whinchat,841,14,14,28,14,165,166,331,165.5
Whinchat,845,14,14,28,14,165,167,332,166
Whinchat,890,14,14,28,14,165,169,334,167
Whinchat,911,14,14,28,14,165,169,334,167
Whinchat,925,14,14,28,14,165,171,336,168
Whinchat,950,14,14,28,14,165,171,336,168
Whinchat,972,14,14,28,14,165,169,334,167
Whinchat,974,14,14,28,14,165,167,332,166
Whinchat,1055,14,14,28,14,165,169,334,167
Whinchat,1091,14,14,28,14,165,169,334,167
Whinchat,1015,12,14,26,13,166,171,337,168.5
Whinchat,903,14,14,28,14,166,169,335,167.5
Whinchat,947,14,14,28,14,166,169,335,167.5
Whinchat,1013,14,14,28,14,166,173,339,169.5
Whinchat,1051,14,14,28,14,166,169,335,167.5
Whinchat,854,9,14,23,11.5,167,167,334,167
Whinchat,898,12,14,26,13,167,169,336,168
Whinchat,969,12,14,26,13,167,171,338,169
Whinchat,828,13,14,27,13.5,167,169,336,168
Whinchat,1100,13,14,27,13.5,167,169,336,168
Whinchat,778,14,14,28,14,167,173,340,170
Whinchat,779,14,14,28,14,167,169,336,168
Whinchat,782,14,14,28,14,167,169,336,168
Whinchat,823,14,14,28,14,167,171,338,169
Whinchat,831,14,14,28,14,167,169,336,168
Whinchat,833,14,14,28,14,167,169,336,168
Whinchat,834,14,14,28,14,167,171,338,169
Whinchat,838,14,14,28,14,167,169,336,168
Whinchat,843,14,14,28,14,167,171,338,169
Whinchat,844,14,14,28,14,167,171,338,169
Whinchat,846,14,14,28,14,167,167,334,167
Whinchat,850,14,14,28,14,167,171,338,169
Whinchat,857,14,14,28,14,167,169,336,168
Whinchat,858,14,14,28,14,167,171,338,169
Whinchat,860,14,14,28,14,167,169,336,168
Whinchat,861,14,14,28,14,167,167,334,167
Whinchat,866,14,14,28,14,167,171,338,169
Whinchat,880,14,14,28,14,167,167,334,167
Whinchat,891,14,14,28,14,167,169,336,168
Whinchat,892,14,14,28,14,167,169,336,168
Whinchat,910,14,14,28,14,167,169,336,168
Whinchat,914,14,14,28,14,167,169,336,168
Whinchat,915,14,14,28,14,167,171,338,169
Whinchat,923,14,14,28,14,167,173,340,170
Whinchat,934,14,16,30,15,167,169,336,168
Whinchat,936,14,14,28,14,167,169,336,168
Whinchat,938,14,14,28,14,167,167,334,167
Whinchat,944,14,14,28,14,167,169,336,168
Whinchat,949,14,14,28,14,167,167,334,167
Whinchat,951,14,14,28,14,167,169,336,168
Whinchat,954,14,14,28,14,167,169,336,168
Whinchat,961,14,14,28,14,167,169,336,168
Whinchat,967,14,16,30,15,167,169,336,168
Whinchat,971,14,14,28,14,167,172,339,169.5
Whinchat,979,14,14,28,14,167,171,338,169
Whinchat,987,14,14,28,14,167,169,336,168
Whinchat,1003,14,14,28,14,167,171,338,169
Whinchat,1034,14,14,28,14,167,167,334,167
Whinchat,1040,14,14,28,14,167,169,336,168
Whinchat,1046,14,14,28,14,167,167,334,167
Whinchat,1047,14,14,28,14,167,169,336,168
Whinchat,1065,14,14,28,14,167,171,338,169
Whinchat,1073,14,14,28,14,167,167,334,167
Whinchat,1077,14,14,28,14,167,169,336,168
Whinchat,1084,14,14,28,14,167,171,338,169
Whinchat,1093,14,14,28,14,167,169,336,168
Whinchat,1095,14,14,28,14,167,169,336,168
Whinchat,1096,14,14,28,14,167,169,336,168
Whinchat,1110,14,14,28,14,167,169,336,168
Whinchat,1111,14,14,28,14,167,171,338,169
Whinchat,1114,14,14,28,14,167,171,338,169
Whinchat,1118,14,14,28,14,167,169,336,168
Whinchat,1121,14,14,28,14,167,167,334,167
Whinchat,1122,14,16,30,15,167,171,338,169
Whinchat,1138,14,14,28,14,167,171,338,169
Whinchat,1143,14,14,28,14,167,173,340,170
Whinchat,829,14,14,28,14,168,169,337,168.5
Whinchat,851,14,14,28,14,168,169,337,168.5
Whinchat,1085,14,14,28,14,168,171,339,169.5
Whinchat,917,9,14,23,11.5,169,169,338,169
Whinchat,1014,11,14,25,12.5,169,169,338,169
Whinchat,819,12,14,26,13,169,171,340,170
Whinchat,1128,12,14,26,13,169,171,340,170
Whinchat,1146,12,14,26,13,169,171,340,170
Whinchat,777,14,14,28,14,169,171,340,170
Whinchat,817,14,14,28,14,169,172,341,170.5
Whinchat,822,14,14,28,14,169,171,340,170
Whinchat,827,14,14,28,14,169,170,339,169.5
Whinchat,835,14,14,28,14,169,171,340,170
Whinchat,848,14,14,28,14,169,169,338,169
Whinchat,852,14,14,28,14,169,171,340,170
Whinchat,859,14,14,28,14,169,171,340,170
Whinchat,876,14,14,28,14,169,171,340,170
Whinchat,882,14,14,28,14,169,169,338,169
Whinchat,888,14,14,28,14,169,169,338,169
Whinchat,893,14,14,28,14,169,173,342,171
Whinchat,902,14,14,28,14,169,169,338,169
Whinchat,905,14,14,28,14,169,169,338,169
Whinchat,908,14,14,28,14,169,171,340,170
Whinchat,912,14,14,28,14,169,169,338,169
Whinchat,913,14,14,28,14,169,172,341,170.5
Whinchat,922,14,14,28,14,169,171,340,170
Whinchat,928,14,14,28,14,169,171,340,170
Whinchat,940,14,14,28,14,169,169,338,169
Whinchat,948,14,14,28,14,169,170,339,169.5
Whinchat,955,14,14,28,14,169,169,338,169
Whinchat,968,14,14,28,14,169,169,338,169
Whinchat,977,14,14,28,14,169,187,356,178
Whinchat,984,14,14,28,14,169,171,340,170
Whinchat,986,14,14,28,14,169,173,342,171
Whinchat,1004,14,14,28,14,169,169,338,169
Whinchat,1007,14,14,28,14,169,169,338,169
Whinchat,1048,14,14,28,14,169,171,340,170
Whinchat,1049,14,14,28,14,169,171,340,170
Whinchat,1050,14,14,28,14,169,169,338,169
Whinchat,1054,14,14,28,14,169,169,338,169
Whinchat,1067,14,14,28,14,169,171,340,170
Whinchat,1075,14,14,28,14,169,169,338,169
Whinchat,1080,14,14,28,14,169,171,340,170
Whinchat,1082,14,14,28,14,169,169,338,169
Whinchat,1087,14,14,28,14,169,171,340,170
Whinchat,1104,14,14,28,14,169,173,342,171
Whinchat,1113,14,15,29,14.5,169,169,338,169
Whinchat,1116,14,14,28,14,169,171,340,170
Whinchat,1117,14,14,28,14,169,169,338,169
Whinchat,1124,14,14,28,14,169,169,338,169
Whinchat,1142,14,14,28,14,169,171,340,170
Whinchat,1145,14,14,28,14,169,171,340,170
Whinchat,1147,14,14,28,14,169,169,338,169
Whinchat,1149,14,14,28,14,169,173,342,171
Whinchat,1150,14,14,28,14,169,171,340,170
Whinchat,953,14,14,28,14,170,171,341,170.5
Whinchat,837,12,14,26,13,171,173,344,172
Whinchat,978,12,14,26,13,171,171,342,171
Whinchat,787,14,14,28,14,171,172,343,171.5
Whinchat,830,14,14,28,14,171,171,342,171
Whinchat,901,14,14,28,14,171,173,344,172
Whinchat,935,14,14,28,14,171,171,342,171
Whinchat,943,14,14,28,14,171,171,342,171
Whinchat,1028,14,14,28,14,171,171,342,171
Whinchat,800,9,14,23,11.5,NA,NA,NA,NA
Whinchat,794,12,14,26,13,NA,NA,NA,NA
Whinchat,932,12,14,26,13,NA,NA,NA,NA
Whinchat,790,14,14,28,14,NA,NA,NA,NA
Whinchat,802,14,14,28,14,NA,NA,NA,NA
Whinchat,806,14,14,28,14,NA,NA,NA,NA
Whinchat,808,14,14,28,14,NA,NA,NA,NA
Whinchat,853,14,14,28,14,NA,NA,NA,NA
Whinchat,868,14,14,28,14,NA,NA,NA,NA
Whinchat,870,14,14,28,14,NA,NA,NA,NA
Whinchat,872,14,14,28,14,NA,NA,NA,NA
Whinchat,881,14,14,28,14,NA,NA,NA,NA
Whinchat,887,14,14,28,14,NA,NA,NA,NA
Whinchat,896,14,14,28,14,NA,NA,NA,NA
Whinchat,897,14,14,28,14,NA,NA,NA,NA
Whinchat,921,14,14,28,14,NA,NA,NA,NA
Whinchat,930,14,14,28,14,NA,NA,NA,NA
Whinchat,964,14,14,28,14,NA,NA,NA,NA
Whinchat,970,14,14,28,14,NA,NA,NA,NA
Whinchat,973,14,14,28,14,NA,NA,NA,NA
Whinchat,991,14,14,28,14,NA,NA,NA,NA
Whinchat,994,14,14,28,14,NA,NA,NA,NA
Whinchat,998,14,14,28,14,NA,NA,NA,NA
Whinchat,1002,14,14,28,14,NA,NA,NA,NA
Whinchat,1017,14,14,28,14,NA,NA,NA,NA
Whinchat,1019,14,14,28,14,NA,NA,NA,NA
Whinchat,1026,14,14,28,14,NA,NA,NA,NA
Whinchat,1030,14,14,28,14,NA,NA,NA,NA
Whinchat,1037,14,14,28,14,NA,NA,NA,NA
Whinchat,1042,14,14,28,14,NA,NA,NA,NA
Whinchat,1044,14,14,28,14,NA,NA,NA,NA
Whinchat,1052,14,14,28,14,NA,NA,NA,NA
Whinchat,1056,14,14,28,14,NA,NA,NA,NA
Whinchat,1060,14,14,28,14,NA,NA,NA,NA
Whinchat,1069,14,14,28,14,NA,NA,NA,NA
Whinchat,1074,14,14,28,14,NA,NA,NA,NA
Whinchat,1081,14,14,28,14,NA,NA,NA,NA
Whinchat,1107,14,14,28,14,NA,NA,NA,NA
Whinchat,1135,14,14,28,14,NA,NA,NA,NA
