Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
White-throated sparrow,2402,10,10,20,10,161,161,322,161
White-throated sparrow,2403,10,10,20,10,164,164,328,164
White-throated sparrow,2404,10,10,20,10,163,164,327,163.5
White-throated sparrow,2405,10,10,20,10,161,164,325,162.5
White-throated sparrow,2406,10,10,20,10,158,164,322,161
White-throated sparrow,2408,10,10,20,10,158,161,319,159.5
White-throated sparrow,2409,10,10,20,10,161,161,322,161
White-throated sparrow,2410,10,10,20,10,160,164,324,162
White-throated sparrow,2411,10,10,20,10,159,161,320,160
White-throated sparrow,2412,10,10,20,10,161,164,325,162.5
White-throated sparrow,2413,10,10,20,10,161,166,327,163.5
White-throated sparrow,2415,10,10,20,10,164,164,328,164
White-throated sparrow,2416,10,10,20,10,162,166,328,164
White-throated sparrow,2417,10,10,20,10,161,163,324,162
White-throated sparrow,2418,10,10,20,10,161,161,322,161
White-throated sparrow,2419,10,10,20,10,161,174,335,167.5
White-throated sparrow,2420,10,10,20,10,158,164,322,161
White-throated sparrow,2421,10,10,20,10,161,164,325,162.5
White-throated sparrow,2422,10,10,20,10,161,161,322,161
White-throated sparrow,2423,10,10,20,10,158,161,319,159.5
White-throated sparrow,2424,10,10,20,10,161,164,325,162.5
White-throated sparrow,2425,10,10,20,10,154,161,315,157.5
White-throated sparrow,2426,10,10,20,10,158,161,319,159.5
White-throated sparrow,2427,10,10,20,10,161,164,325,162.5
White-throated sparrow,2428,10,10,20,10,159,162,321,160.5
White-throated sparrow,2429,10,10,20,10,160,163,323,161.5
White-throated sparrow,2430,10,10,20,10,163,164,327,163.5
White-throated sparrow,2431,10,10,20,10,158,164,322,161
White-throated sparrow,2432,10,10,20,10,164,166,330,165
White-throated sparrow,2433,10,10,20,10,160,161,321,160.5
White-throated sparrow,2434,10,10,20,10,161,161,322,161
White-throated sparrow,2435,10,10,20,10,161,163,324,162
