Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Willow warbler,3B/01,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/02,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/03,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/04,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3B/05,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3B/06,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/07,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/08,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/09,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/10,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3B/11,9,11,20,10,NA,NA,NA,NA
Willow warbler,3B/12,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/13,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3B/14,11,11,22,11,NA,NA,NA,NA
Willow warbler,3B/15,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/01,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/02,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/03,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/04,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/05,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/06,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/07,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3C/08,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/09,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3C/10,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3C/11,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3C/12,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3C/13,12,12,24,12,NA,NA,NA,NA
Willow warbler,3C/14,11,11,22,11,NA,NA,NA,NA
Willow warbler,3C/15,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E02,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E03,11,13,24,12,NA,NA,NA,NA
Willow warbler,0E04,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E05,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,0E06,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E07,10,12,22,11,NA,NA,NA,NA
Willow warbler,0E08,12,12,24,12,NA,NA,NA,NA
Willow warbler,0E10,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E11,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E12,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E13,9,11,20,10,NA,NA,NA,NA
Willow warbler,0E14,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E15,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E16,11,11,22,11,NA,NA,NA,NA
Willow warbler,0E17,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3E/01,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3E/02,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/03,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/04,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/05,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/06,11,13,24,12,NA,NA,NA,NA
Willow warbler,3E/08,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3E/07,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3E/09,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3E/10,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/11,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/13,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/14,11,11,22,11,NA,NA,NA,NA
Willow warbler,3E/15,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/03,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3F/02,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/01,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3F/04,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/05,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/06,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/07,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/08,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/09,11,13,24,12,NA,NA,NA,NA
Willow warbler,3F/10,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,3F/11,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3F/12,9,11,20,10,NA,NA,NA,NA
Willow warbler,3F/13,11,11,22,11,NA,NA,NA,NA
Willow warbler,3F/14,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,3F/15,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/01,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,1K/02,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/03,12,12,24,12,NA,NA,NA,NA
Willow warbler,1K/04,9,12,21,10.5,NA,NA,NA,NA
Willow warbler,1K/05,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/06,9,11,20,10,NA,NA,NA,NA
Willow warbler,1K/07,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/08,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,1K/09,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/10,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,1K/11,12,12,24,12,NA,NA,NA,NA
Willow warbler,1K/12,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/13,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,1K/14,11,11,22,11,NA,NA,NA,NA
Willow warbler,1K/15,11,11,22,11,NA,NA,NA,NA
Willow warbler,N/01,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,N/02,11,12,23,11.5,NA,NA,NA,NA
Willow warbler,N/03,10,10,20,10,NA,NA,NA,NA
Willow warbler,N/04,11,11,22,11,NA,NA,NA,NA
Willow warbler,2D/02,12,12,24,12,NA,NA,NA,NA
Willow warbler,2D/03,11,11,22,11,NA,NA,NA,NA
Willow warbler,2D/05,11,11,22,11,NA,NA,NA,NA
Willow warbler,2D/08,11,13,24,12,NA,NA,NA,NA
Willow warbler,2D/09,10,11,21,10.5,NA,NA,NA,NA
Willow warbler,2D/10,11,11,22,11,NA,NA,NA,NA
Willow warbler,2D/16,11,11,22,11,NA,NA,NA,NA
