Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Wilson's warbler,2490,9,9,18,9,156,161,317,158.5
Wilson's warbler,2491,9,9,18,9,154,160,314,157
Wilson's warbler,2492,9,9,18,9,157,157,314,157
Wilson's warbler,2493,9,9,18,9,158,158,316,158
Wilson's warbler,2494,9,9,18,9,157,162,319,159.5
Wilson's warbler,2495,9,9,18,9,157,159,316,158
Wilson's warbler,2496,9,9,18,9,157,162,319,159.5
Wilson's warbler,2497,9,9,18,9,160,160,320,160
Wilson's warbler,2498,9,9,18,9,157,160,317,158.5
Wilson's warbler,2499,NA,NA,NA,NA,157,160,317,158.5
Wilson's warbler,2500,9,9,18,9,157,160,317,158.5
Wilson's warbler,2501,9,9,18,9,158,160,318,159
Wilson's warbler,2502,9,9,18,9,156,158,314,157
Wilson's warbler,2503,9,9,18,9,157,157,314,157
Wilson's warbler,2504,9,9,18,9,154,158,312,156
Wilson's warbler,2505,9,9,18,9,156,158,314,157
Wilson's warbler,2506,9,9,18,9,157,157,314,157
Wilson's warbler,2507,9,9,18,9,156,162,318,159
Wilson's warbler,2508,9,9,18,9,158,160,318,159
Wilson's warbler,2509,9,9,18,9,157,160,317,158.5
Wilson's warbler,2510,9,9,18,9,156,162,318,159
Wilson's warbler,2511,9,9,18,9,157,160,317,158.5
Wilson's warbler,2512,9,9,18,9,158,160,318,159
Wilson's warbler,2513,9,9,18,9,158,162,320,160
Wilson's warbler,2514,9,9,18,9,157,160,317,158.5
Wilson's warbler,2515,9,9,18,9,157,158,315,157.5
Wilson's warbler,2516,9,9,18,9,157,158,315,157.5
Wilson's warbler,2517,8,9,17,8.5,158,158,316,158
Wilson's warbler,2518,9,9,18,9,156,160,316,158
Wilson's warbler,2519,9,9,18,9,157,157,314,157
Wilson's warbler,2520,9,9,18,9,156,160,316,158
Wilson's warbler,2521,9,9,18,9,156,158,314,157
Wilson's warbler,2522,9,9,18,9,156,162,318,159
Wilson's warbler,2523,9,9,18,9,158,160,318,159
Wilson's warbler,2524,9,9,18,9,156,162,318,159
Wilson's warbler,2525,9,9,18,9,156,158,314,157
Wilson's warbler,2526,9,9,18,9,157,160,317,158.5
Wilson's warbler,2527,9,9,18,9,162,164,326,163
Wilson's warbler,2528,9,9,18,9,160,164,324,162
Wilson's warbler,2529,9,9,18,9,156,156,312,156
Wilson's warbler,2530,9,9,18,9,158,164,322,161
Wilson's warbler,2531,9,9,18,9,159,159,318,159
Wilson's warbler,2532,9,9,18,9,160,160,320,160
Wilson's warbler,2533,9,9,18,9,158,160,318,159
Wilson's warbler,2534,9,9,18,9,156,158,314,157
Wilson's warbler,2535,9,9,18,9,NA,NA,NA,NA
Wilson's warbler,2536,9,9,18,9,156,158,314,157
Wilson's warbler,2537,9,9,18,9,158,162,320,160
Wilson's warbler,2538,9,9,18,9,156,156,312,156
Wilson's warbler,2539,9,9,18,9,162,162,324,162
Wilson's warbler,2540,9,9,18,9,158,164,322,161
Wilson's warbler,2541,9,9,18,9,158,162,320,160
Wilson's warbler,2542,9,9,18,9,158,162,320,160
Wilson's warbler,2543,9,9,18,9,156,156,312,156
Wilson's warbler,2544,9,9,18,9,158,158,316,158
Wilson's warbler,2545,9,9,18,9,156,158,314,157
Wilson's warbler,2546,9,9,18,9,160,162,322,161
Wilson's warbler,2547,9,9,18,9,160,162,322,161
Wilson's warbler,2548,9,9,18,9,156,156,312,156
Wilson's warbler,2549,9,9,18,9,158,160,318,159
Wilson's warbler,2550,9,9,18,9,156,162,318,159
Wilson's warbler,2551,9,9,18,9,156,160,316,158
Wilson's warbler,2552,9,9,18,9,157,160,317,158.5
Wilson's warbler,2553,9,9,18,9,158,162,320,160
Wilson's warbler,2554,9,9,18,9,156,157,313,156.5
Wilson's warbler,2555,9,9,18,9,160,162,322,161
Wilson's warbler,2556,9,9,18,9,NA,NA,NA,NA
Wilson's warbler,2557,9,9,18,9,158,158,316,158
Wilson's warbler,2558,9,9,18,9,158,160,318,159
Wilson's warbler,2559,8,9,17,8.5,156,158,314,157
Wilson's warbler,2560,9,9,18,9,159,162,321,160.5
Wilson's warbler,2561,9,9,18,9,160,162,322,161
Wilson's warbler,2562,9,9,18,9,156,160,316,158
Wilson's warbler,2563,9,9,18,9,156,162,318,159
Wilson's warbler,2564,9,9,18,9,158,162,320,160
Wilson's warbler,2565,9,9,18,9,156,162,318,159
Wilson's warbler,2566,9,9,18,9,158,162,320,160
Wilson's warbler,2567,9,9,18,9,158,160,318,159
Wilson's warbler,2568,9,9,18,9,156,158,314,157
Wilson's warbler,2569,9,9,18,9,160,160,320,160
Wilson's warbler,2570,9,9,18,9,156,162,318,159
Wilson's warbler,2571,9,9,18,9,156,158,314,157
Wilson's warbler,2572,9,9,18,9,NA,NA,NA,NA
Wilson's warbler,2573,9,9,18,9,156,156,312,156
Wilson's warbler,2574,9,9,18,9,158,158,316,158
Wilson's warbler,2575,9,9,18,9,157,160,317,158.5
Wilson's warbler,2576,9,9,18,9,156,157,313,156.5
Wilson's warbler,2577,9,9,18,9,156,162,318,159
Wilson's warbler,2578,9,9,18,9,158,162,320,160
Wilson's warbler,2579,9,9,18,9,158,158,316,158
Wilson's warbler,2580,9,9,18,9,156,160,316,158
Wilson's warbler,2581,9,9,18,9,156,156,312,156
Wilson's warbler,2582,9,9,18,9,160,160,320,160
Wilson's warbler,2583,9,9,18,9,156,158,314,157
Wilson's warbler,2584,9,9,18,9,156,162,318,159
Wilson's warbler,2585,9,9,18,9,158,160,318,159
Wilson's warbler,2586,9,9,18,9,158,158,316,158
Wilson's warbler,2587,9,9,18,9,158,160,318,159
Wilson's warbler,2588,9,9,18,9,156,160,316,158
Wilson's warbler,2589,9,9,18,9,156,162,318,159
Wilson's warbler,2590,NA,NA,NA,NA,156,160,316,158
Wilson's warbler,2591,9,9,18,9,158,160,318,159
Wilson's warbler,2592,NA,NA,NA,NA,160,164,324,162
Wilson's warbler,2593,9,9,18,9,156,162,318,159
