Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Wood warbler,1799,9,11,20,10,156,164,320,160
Wood warbler,1775,11,11,22,11,158,162,320,160
Wood warbler,1785,9,11,20,10,160,164,324,162
Wood warbler,1806,9,11,20,10,160,160,320,160
Wood warbler,1810,10,11,21,10.5,160,162,322,161
Wood warbler,1777,11,11,22,11,160,162,322,161
Wood warbler,1798,11,11,22,11,160,162,322,161
Wood warbler,1802,11,11,22,11,160,162,322,161
Wood warbler,1820,11,11,22,11,160,162,322,161
Wood warbler,1808,8,11,19,9.5,162,162,324,162
Wood warbler,1776,9,11,20,10,162,164,326,163
Wood warbler,1791,9,9,18,9,162,164,326,163
Wood warbler,1796,9,11,20,10,162,162,324,162
Wood warbler,1815,9,10,19,9.5,162,162,324,162
Wood warbler,1773,10,10,20,10,162,162,324,162
Wood warbler,1779,10,11,21,10.5,162,162,324,162
Wood warbler,1782,10,11,21,10.5,162,164,326,163
Wood warbler,1786,10,11,21,10.5,162,162,324,162
Wood warbler,1788,10,12,22,11,162,162,324,162
Wood warbler,1811,10,11,21,10.5,162,162,324,162
Wood warbler,1818,10,12,22,11,162,164,326,163
Wood warbler,1787,11,12,23,11.5,162,162,324,162
Wood warbler,1792,11,12,23,11.5,162,164,326,163
Wood warbler,1793,11,12,23,11.5,162,162,324,162
Wood warbler,1794,11,11,22,11,162,162,324,162
Wood warbler,1805,11,12,23,11.5,162,164,326,163
Wood warbler,1817,11,11,22,11,162,164,326,163
Wood warbler,1819,11,11,22,11,162,164,326,163
Wood warbler,1821,11,11,22,11,162,162,324,162
Wood warbler,1804,10,11,21,10.5,NA,NA,NA,NA
