Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Woodchat shrike,165,5,7,12,6,173,176,349,174.5
Woodchat shrike,173,7,7,14,7,174,176,350,175
Woodchat shrike,176,7,8,15,7.5,174,176,350,175
Woodchat shrike,181,6,7,13,6.5,174,176,350,175
Woodchat shrike,167,5,7,12,6,175,176,351,175.5
Woodchat shrike,170,5,7,12,6,175,179,354,177
Woodchat shrike,172,6,7,13,6.5,175,176,351,175.5
Woodchat shrike,163,7,7,14,7,176,176,352,176
Woodchat shrike,164,6,6,12,6,176,176,352,176
Woodchat shrike,166,6,7,13,6.5,176,176,352,176
Woodchat shrike,168,7,7,14,7,176,177,353,176.5
Woodchat shrike,169,5,7,12,6,176,176,352,176
Woodchat shrike,174,7,7,14,7,176,178,354,177
Woodchat shrike,175,5,7,12,6,176,178,354,177
Woodchat shrike,178,6,7,13,6.5,176,180,356,178
Woodchat shrike,179,7,7,14,7,176,176,352,176
Woodchat shrike,180,5,6,11,5.5,176,179,355,177.5
Woodchat shrike,171,7,7,14,7,177,179,356,178
Woodchat shrike,162,7,7,14,7,NA,NA,NA,NA
Woodchat shrike,177,7,7,14,7,NA,NA,NA,NA
