Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Yelkouan shearwater,YE7,11,12,23,11.5,NA,NA,NA,NA
Yelkouan shearwater,YE6,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,YE5,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,YE4,9,11,20,10,NA,NA,NA,NA
Yelkouan shearwater,YE3,10,11,21,10.5,NA,NA,NA,NA
Yelkouan shearwater,YE2,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,YE1,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY8,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY7,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY6,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY5,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY4,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY3,11,11,22,11,NA,NA,NA,NA
Yelkouan shearwater,PY2,8,11,19,9.5,NA,NA,NA,NA
Yelkouan shearwater,PY1,11,11,22,11,NA,NA,NA,NA
