Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Yellow-legged gull,Yellow-legged gull 1,NA,NA,NA,NA,158,160,318,159
Yellow-legged gull,Yellow-legged gull 2,NA,NA,NA,NA,158,160,318,159
Yellow-legged gull,Yellow-legged gull 3,NA,NA,NA,NA,158,160,318,159
Yellow-legged gull,Yellow-legged gull 4,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 5,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 6,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 7,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 8,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 9,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 10,NA,NA,NA,NA,158,162,320,160
Yellow-legged gull,Yellow-legged gull 11,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 12,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 13,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 14,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 15,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 16,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 17,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 18,NA,NA,NA,NA,160,162,322,161
Yellow-legged gull,Yellow-legged gull 19,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 20,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 21,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 22,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 23,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 24,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 25,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 26,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 27,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 28,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 29,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 30,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 31,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 32,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 33,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 34,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 35,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 36,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 37,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 38,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 39,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 40,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 41,NA,NA,NA,NA,162,162,324,162
Yellow-legged gull,Yellow-legged gull 42,NA,NA,NA,NA,162,163,325,162.5
