Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Magnolia warbler,2310,9,9,18,9,161,161,322,161
Magnolia warbler,2311,?,?,?,?,159,161,320,160
Magnolia warbler,2312,7,11,18,9,153,159,312,156
Magnolia warbler,2313,9,9,18,9,155,163,318,159
Magnolia warbler,2314,8,9,17,8.5,157,159,316,158
Magnolia warbler,2315,9,9,18,9,161,161,322,161
Magnolia warbler,2316,9,9,18,9,157,163,320,160
Magnolia warbler,2317,9,9,18,9,155,163,318,159
Magnolia warbler,2318,9,9,18,9,159,161,320,160
Magnolia warbler,2319,7,8,15,7.5,159,159,318,159
Magnolia warbler,2320,9,10,19,9.5,157,161,318,159
Magnolia warbler,2321,9,9,18,9,155,161,316,158
Magnolia warbler,2322,9,9,18,9,157,161,318,159
Magnolia warbler,2323,8,10,18,9,161,163,324,162
Magnolia warbler,2324,9,9,18,9,159,161,320,160
Magnolia warbler,2325,9,9,18,9,157,161,318,159
Magnolia warbler,2326,9,9,18,9,159,161,320,160
Magnolia warbler,2327,9,10,19,9.5,157,167,324,162
Magnolia warbler,2328,8,9,17,8.5,163,167,330,165
Magnolia warbler,2329,9,9,18,9,157,159,316,158
Magnolia warbler,2330,9,9,18,9,159,163,322,161
Magnolia warbler,2331,9,9,18,9,155,157,312,156
Magnolia warbler,2332,9,9,18,9,159,161,320,160
Magnolia warbler,2333,9,9,18,9,155,157,312,156
Magnolia warbler,2334,9,9,18,9,155,163,318,159
Magnolia warbler,2335,9,9,18,9,155,159,314,157
Magnolia warbler,2336,9,9,18,9,163,165,328,164
Magnolia warbler,2337,9,9,18,9,159,161,320,160
Magnolia warbler,2338,?,?,?,?,159,165,324,162
Magnolia warbler,2339,9,9,18,9,159,163,322,161
Magnolia warbler,2340,9,9,18,9,153,161,314,157
Magnolia warbler,2341,9,9,18,9,157,163,320,160
Magnolia warbler,2342,7,9,16,8,155,163,318,159
Magnolia warbler,2343,9,10,19,9.5,157,159,316,158
Magnolia warbler,2344,9,9,18,9,159,165,324,162
