Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Blue tit,T176652,13,13,26,13,NA,NA,NA,NA
Blue tit,T643533,12,12,24,12,NA,NA,NA,NA
Blue tit,T550148,12,12,24,12,NA,NA,NA,NA
Blue tit,V260021,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T643541,12,12,24,12,NA,NA,NA,NA
Blue tit,P812649,12,12,24,12,NA,NA,NA,NA
Blue tit,P804012,12,12,24,12,NA,NA,NA,NA
Blue tit,N199088,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T642984,12,14,26,13,NA,NA,NA,NA
Blue tit,T643524,12,12,24,12,NA,NA,NA,NA
Blue tit,N199343,12,14,26,13,NA,NA,NA,NA
Blue tit,V261115,12,13,25,12.5,NA,NA,NA,NA
Blue tit,H300678,12,12,24,12,NA,NA,NA,NA
Blue tit,P809250,12,12,24,12,NA,NA,NA,NA
Blue tit,N200885,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T176690,12,13,25,12.5,NA,NA,NA,NA
Blue tit,V259916,12,14,26,13,NA,NA,NA,NA
Blue tit,P808837,12,13,25,12.5,NA,NA,NA,NA
Blue tit,P811256,12,12,24,12,NA,NA,NA,NA
Blue tit,P811296,12,12,24,12,NA,NA,NA,NA
Blue tit,P806453,12,12,24,12,NA,NA,NA,NA
Blue tit,T643532,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T176614,11,12,23,11.5,NA,NA,NA,NA
Blue tit,T642999,11,13,24,12,NA,NA,NA,NA
Blue tit,P811266,12,16,28,14,NA,NA,NA,NA
Blue tit,V261055,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T642847,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T641186,12,13,25,12.5,NA,NA,NA,NA
Blue tit,N200982,13,13,26,13,NA,NA,NA,NA
Blue tit,T642860,12,12,24,12,NA,NA,NA,NA
Blue tit,T642855,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T643004,11,12,23,11.5,NA,NA,NA,NA
Blue tit,T176666,12,12,24,12,NA,NA,NA,NA
Blue tit,V261201,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T640282,12,12,24,12,NA,NA,NA,NA
Blue tit,T176848,12,12,24,12,NA,NA,NA,NA
Blue tit,T641237,12,12,24,12,NA,NA,NA,NA
Blue tit,T176792,13,13,26,13,NA,NA,NA,NA
Blue tit,T642868,12,13,25,12.5,NA,NA,NA,NA
Blue tit,V259933,12,13,25,12.5,NA,NA,NA,NA
Blue tit,V259595,12,12,24,12,NA,NA,NA,NA
Blue tit,T176427,13,13,26,13,NA,NA,NA,NA
Blue tit,V259950,11,14,25,12.5,NA,NA,NA,NA
Blue tit,V259593,12,12,24,12,NA,NA,NA,NA
Blue tit,T641273,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T176703,12,12,24,12,NA,NA,NA,NA
Blue tit,V259564,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T642990,13,13,26,13,NA,NA,NA,NA
Blue tit,P811734,12,13,25,12.5,NA,NA,NA,NA
Blue tit,H300675,11,12,23,11.5,NA,NA,NA,NA
Blue tit,T642862,12,14,26,13,NA,NA,NA,NA
Blue tit,T176547,11,12,23,11.5,NA,NA,NA,NA
Blue tit,V259951,12,12,24,12,NA,NA,NA,NA
Blue tit,V259576,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T642850,11,12,23,11.5,NA,NA,NA,NA
Blue tit,P811435,12,12,24,12,NA,NA,NA,NA
Blue tit,T176672,12,12,24,12,NA,NA,NA,NA
Blue tit,T176673,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T642377,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T643519,12,13,25,12.5,NA,NA,NA,NA
Blue tit,T176682,12,12,24,12,NA,NA,NA,NA
Blue tit,P807176,13,14,27,13.5,NA,NA,NA,NA
