Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
American redstart,2216,9,9,18,9,159,161,320,160
American redstart,2217,9,9,18,9,161,163,324,162
American redstart,2227,7,9,16,8,159,161,320,160
American redstart,2229,7,7,14,7,161,165,326,163
American redstart,2235,7,9,16,8,161,161,322,161
American redstart,2236,7,9,16,8,157,159,316,158
American redstart,2243,7,9,16,8,161,163,324,162
American redstart,2218,9,9,18,9,157,159,316,158
American redstart,2219,9,9,18,9,161,165,326,163
American redstart,2220,9,9,18,9,157,159,316,158
American redstart,2221,9,9,18,9,161,161,322,161
American redstart,2222,9,9,18,9,161,161,322,161
American redstart,2223,9,9,18,9,157,159,316,158
American redstart,2224,9,9,18,9,155,161,316,158
American redstart,2225,9,9,18,9,157,159,316,158
American redstart,2226,9,9,18,9,161,165,326,163
American redstart,2228,9,9,18,9,161,161,322,161
American redstart,2230,9,9,18,9,165,167,332,166
American redstart,2231,9,9,18,9,161,165,326,163
American redstart,2233,9,9,18,9,157,163,320,160
American redstart,2238,9,9,18,9,159,163,322,161
American redstart,2240,9,9,18,9,157,161,318,159
American redstart,2241,9,9,18,9,157,161,318,159
American redstart,2242,9,9,18,9,161,167,328,164
American redstart,2245,9,9,18,9,161,161,322,161
American redstart,2246,9,9,18,9,161,167,328,164
American redstart,2244,NA,NA,NA,NA,159,159,318,159
