Species,Sample ID,Clock 1,Clock 2,Sum,Mean ,Adcyap1,Adcyap2,Sum,Mean
Chiff abientinus,330,10,12,22,11,NA,NA,NA,NA
Chiff abientinus,331,10,11,21,10.5,NA,NA,NA,NA
Chiff abientinus,332,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,333,10,11,21,10.5,NA,NA,NA,NA
Chiff abientinus,334,10,11,21,10.5,NA,NA,NA,NA
Chiff abientinus,335,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,336,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,337,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,338,12,12,24,12,NA,NA,NA,NA
Chiff abientinus,339,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,340,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,341,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,342,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,343,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,344,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,345,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,346,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,347,9,11,20,10,NA,NA,NA,NA
Chiff abientinus,348,9,9,18,9,NA,NA,NA,NA
Chiff abientinus,349,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,350,9,11,20,10,NA,NA,NA,NA
Chiff abientinus,351,9,11,20,10,NA,NA,NA,NA
Chiff abientinus,352,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,353,9,11,20,10,NA,NA,NA,NA
Chiff abientinus,354,10,10,20,10,NA,NA,NA,NA
Chiff abientinus,355,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,356,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,357,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,358,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,359,11,11,22,11,NA,NA,NA,NA
Chiff abientinus,360,11,11,22,11,NA,NA,NA,NA
Chiff tristis,1,10,10,20,10,NA,NA,NA,NA
Chiff tristis,4,11,11,22,11,NA,NA,NA,NA
Chiff tristis,7,12,12,24,12,NA,NA,NA,NA
Chiff tristis,9,10,11,21,10.5,NA,NA,NA,NA
Chiff tristis,12,11,11,22,11,NA,NA,NA,NA
Chiff tristis,14,11,11,22,11,NA,NA,NA,NA
Chiff tristis,17,11,11,22,11,NA,NA,NA,NA
Chiff tristis,21,11,11,22,11,NA,NA,NA,NA
Chiff tristis,22,11,11,22,11,NA,NA,NA,NA
Chiff tristis,29,10,11,21,10.5,NA,NA,NA,NA
Chiff tristis,33,11,11,22,11,NA,NA,NA,NA
Chiff tristis,36,10,11,21,10.5,NA,NA,NA,NA
Chiff tristis,38,11,11,22,11,NA,NA,NA,NA
Chiff tristis,42,9,12,21,10.5,NA,NA,NA,NA
Chiff tristis,45,11,11,22,11,NA,NA,NA,NA
Chiff tristis,50,11,11,22,11,NA,NA,NA,NA
Chiff tristis,52,11,11,22,11,NA,NA,NA,NA
Chiff tristis,55,11,12,23,11.5,NA,NA,NA,NA
Chiff tristis,57,11,11,22,11,NA,NA,NA,NA
Chiff tristis,65,11,12,23,11.5,NA,NA,NA,NA
Chiff tristis,67,11,11,22,11,NA,NA,NA,NA
Chiff tristis,76,11,12,23,11.5,NA,NA,NA,NA
Chiff tristis,78,11,12,23,11.5,NA,NA,NA,NA
Chiff tristis,81,11,11,22,11,NA,NA,NA,NA
